dataset,model,label_fraction,removed,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,nonempty_mean,nonempty_std,n_calib_mean,n_calib_std,pool_size_mean,pool_size_std
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,0.09327295423719187,0.010987387558448686,0.6636558384513835,0.042464735710293446,143.78,10.478952449765412,1.0,0.0,1267.9,18.74347293800643,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.0,random,0.09327295423719187,0.010987387558448686,0.6636558384513835,0.042464735710293446,143.78,10.478952449765412,1.0,0.0,1267.9,18.74347293800643,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,0.1599007891931076,0.01493066389909375,0.7560874109698756,0.03663793764300772,177.5144,11.571507720834537,1.0,0.0,1205.0,17.80062420878053,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.05,random,0.09286545201264056,0.010730881232574083,0.6622826210925657,0.045111943301212896,143.4884,11.11159689693611,1.0,0.0,1205.0,17.80062420878053,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,0.1688863008310214,0.02505079449983368,0.7648252802374793,0.042105473042207416,181.8664,14.947883054875104,1.0,0.0,1141.58,16.890352275781567,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.1,random,0.09278977362715646,0.010802874446726457,0.6618202972079077,0.04520980611826826,143.3788,11.176401336944041,1.0,0.0,1141.58,16.890352275781567,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,0.16352344386162104,0.020678468319176954,0.7585792116385941,0.04202570504866346,179.1272,13.887217694300354,1.0,0.0,1014.8,15.00133327407934,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.2,random,0.09186336089722347,0.010610430574533678,0.6603177764011179,0.044803635257558386,142.9828,11.017450086113394,1.0,0.0,1014.8,15.00133327407934,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,0.16015445754824248,0.02370510956947679,0.7530479497010789,0.04294289957590225,177.50039999999998,14.828845337532002,1.0,0.0,761.1800000000001,11.270591032515657,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.4,random,0.09065271379784871,0.010566541159939406,0.6539112359758861,0.04792095703842438,141.63119999999998,11.70292799829741,1.0,0.0,761.1800000000001,11.270591032515657,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.6,exposure,0.15465236497795723,0.022984337041827112,0.7442373435457891,0.04411569636007896,174.882,14.931042473093887,1.0,0.0,507.6,7.502888332724501,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.6,random,0.0877988101640789,0.010637449602355555,0.6384376601877277,0.05405280661661939,138.3768,12.824153017732666,0.9960000000000001,0.01264911064067353,507.6,7.502888332724501,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.8,exposure,0.1398892813697258,0.02380709587940639,0.7100221939471167,0.049873761205731816,165.928,15.713745546848825,0.9972,0.008854377448471501,253.98000000000002,3.774122414548838,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.8,random,0.07691314639575672,0.008531506975138822,0.5699982767875211,0.08015571743218493,123.768,17.12444885082274,0.9176,0.10645311957226367,253.98000000000002,3.774122414548838,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.9,exposure,0.11254634335602458,0.02328833126198306,0.4718862895553112,0.11405935612458556,115.80319999999999,27.321733525610057,0.6048,0.13780243506959922,127.24000000000001,1.8685704577445206,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.9,random,0.05690227213216244,0.009405728662734227,0.2746947286567783,0.06161204106240229,64.3472,13.980731222332796,0.3668,0.07523710668428331,127.24000000000001,1.8685704577445206,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.97,exposure,0.003224609413895115,0.0033483740746307945,0.00514060109608635,0.005298274617299733,2.6475999999999997,2.7684549722423397,0.005200000000000001,0.005349974039397035,38.6,0.6324555320336751,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.25,0.97,random,0.00024033264033264035,0.0007599985395331905,0.00039587628865979385,0.001251870743819235,0.1924,0.6084222218163962,0.0004,0.0012649110640673518,38.6,0.6324555320336751,1267.9,18.74347293800643
weibo_gadbench,hgb_attributes,0.5,0.0,exposure,0.0959066153168541,0.010691014910241551,0.6660604068070763,0.03792638577390453,144.72,9.378557102952108,1.0,0.0,2544.82,26.276047394284227,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.0,random,0.0959066153168541,0.010691014910241551,0.6660604068070763,0.03792638577390453,144.72,9.378557102952108,1.0,0.0,2544.82,26.276047394284227,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.05,exposure,0.16996212103945557,0.01569278570308788,0.768563626436789,0.03860302463858759,182.4204,13.176986059034903,1.0,0.0,2418.04,24.936506036999987,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.05,random,0.09486208106996721,0.010729316512292978,0.6655895821379539,0.0373311065481604,144.4556,9.38565268197511,1.0,0.0,2418.04,24.936506036999987,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.1,exposure,0.18861053090126928,0.02344526172625505,0.7861128756773134,0.04267213427084841,191.2156,15.557019703157941,1.0,0.0,2290.8,23.633873994755973,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.1,random,0.09478474425132773,0.010068637273917883,0.6647255483009389,0.03775774743999209,144.2624,9.323827197025908,1.0,0.0,2290.8,23.633873994755973,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.2,exposure,0.184380156911799,0.02465356077900154,0.782840578220565,0.04394694361460951,189.5096,16.37731560692682,1.0,0.0,2036.3,21.024483082561083,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.2,random,0.0943127808710456,0.00906506808193801,0.6634646938072039,0.03846257855878306,143.9296,9.337906727122743,1.0,0.0,2036.3,21.024483082561083,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.4,exposure,0.1802510434647851,0.023832452684575706,0.7783151722941077,0.04304525844547988,187.5608,15.995214595483096,1.0,0.0,1527.3,15.7774100113632,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.4,random,0.09348962762406605,0.008187679252127976,0.6611147102399789,0.038834622989842145,143.3732,9.335845576176927,1.0,0.0,1527.3,15.7774100113632,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.6,exposure,0.17736844026057108,0.021551078419760922,0.7745034702569977,0.03998019167074381,186.2192,14.628013405031382,1.0,0.0,1018.36,10.596351573379737,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.6,random,0.09279810721335796,0.007060319169008276,0.6583512151807638,0.03827284551669751,142.81959999999998,8.974838595886968,1.0,0.0,1018.36,10.596351573379737,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.8,exposure,0.17026584025536184,0.020224322217542383,0.7617419561912927,0.03844051452796816,182.45440000000002,13.595751780938363,1.0,0.0,509.36,5.349807888554904,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.8,random,0.08730458109096449,0.005558971111803565,0.6366654743712736,0.04245740840396858,137.9344,9.572607809090819,0.998,0.005077182070575925,509.36,5.349807888554904,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.9,exposure,0.15870518516203513,0.019471497472596237,0.7328476533825004,0.041747722635603744,175.2612,13.328730145399781,0.9928000000000001,0.01445913782584105,254.94,2.676731007944005,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.9,random,0.07701780678054146,0.007532508842388245,0.5716573606872972,0.0672714025818119,124.18520000000001,14.558192201567397,0.9256,0.08483605103701815,254.94,2.676731007944005,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.97,exposure,0.05791399928257078,0.013095722774819352,0.14934785099604186,0.03685534133483086,45.586400000000005,10.95359670204774,0.1644,0.03866436774775107,76.86,0.8275801404630773,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,0.5,0.97,random,0.01421356042098534,0.004531809937811816,0.038216750170847316,0.012764327011343415,11.3168,3.6714169471744835,0.04240000000000001,0.014009520572334613,76.86,0.8275801404630773,2544.82,26.276047394284227
weibo_gadbench,hgb_attributes,1.0,0.0,exposure,0.09332321463180764,0.0073339894663963096,0.6636128815846078,0.043431169466462846,143.66,9.980892856965362,1.0,0.0,5085.8,5.827139568909798,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.0,random,0.09332321463180764,0.0073339894663963096,0.6636128815846078,0.043431169466462846,143.66,9.980892856965362,1.0,0.0,5085.8,5.827139568909798,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.05,exposure,0.1799232316657254,0.01288235767321633,0.7771575411157003,0.036974542975081695,186.29000000000002,11.227100427091589,1.0,0.0,4831.9,5.606543795720618,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.05,random,0.09230683635214834,0.006551599439793718,0.6632793661200168,0.04310739839851238,143.4312,9.859079389070773,1.0,0.0,4831.9,5.606543795720618,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.1,exposure,0.2152831842865283,0.023717505358654096,0.8098611255278595,0.042588412412307604,203.20239999999998,15.709174129222136,1.0,0.0,4577.7,5.355163655554922,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.1,random,0.09237687579211734,0.006468991719105632,0.6627072807348423,0.0429360574759392,143.3268,9.771264910724486,1.0,0.0,4577.7,5.355163655554922,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.2,exposure,0.2140688556615616,0.02435460114145254,0.8086485234455256,0.043721596950989323,202.62439999999998,16.427777500319397,1.0,0.0,4069.1,4.7246399039738565,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.2,random,0.09197760400131924,0.006113206459747903,0.6621394455929623,0.04204585661526436,143.1492,9.512762524337743,1.0,0.0,4069.1,4.7246399039738565,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.4,exposure,0.19895004877825123,0.02167573592936984,0.7959400740966902,0.04306984684889261,195.6728,15.58865089166545,1.0,0.0,3051.9,3.5103022978401572,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.4,random,0.09264877475595669,0.005869992674021271,0.6615727432148544,0.0406731684315417,143.1772,9.18438288981174,1.0,0.0,3051.9,3.5103022978401572,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.6,exposure,0.1968300022817202,0.02133384022581501,0.7935723496789046,0.04194550965996407,194.77439999999999,15.282878867834048,1.0,0.0,2034.8,2.347575581554521,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.6,random,0.09210419580495499,0.0058772555749998946,0.6596038427025303,0.03928937163128584,142.74560000000002,8.750634912837924,1.0,0.0,2034.8,2.347575581554521,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.8,exposure,0.193188936667846,0.019921258553656573,0.7886831951387617,0.0406171268577447,193.2508,14.730320784015532,1.0,0.0,1017.6,1.1737877907772725,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.8,random,0.09068314775511639,0.006683079918375703,0.6526317765471417,0.04172288330912986,141.2692,9.23427933541348,1.0,0.0,1017.6,1.1737877907772725,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.9,exposure,0.18527919191981412,0.02057829905148297,0.7772157572394428,0.04034059983374402,189.6116,14.635841601280669,1.0,0.0,509.1,0.5676462121975486,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.9,random,0.08543113698270532,0.006341416759217687,0.6321831095305603,0.046945078959185545,136.67159999999998,10.283956947055383,0.998,0.0043204937989386,509.1,0.5676462121975486,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.97,exposure,0.14968294480301328,0.018995546470922862,0.6686953404567237,0.07941197600211608,162.296,19.660834751126693,0.8879999999999999,0.0851456268858112,153.0,0.0,5085.8,5.827139568909798
weibo_gadbench,hgb_attributes,1.0,0.97,random,0.06465017095693375,0.006356696788624337,0.40726172509774017,0.0832641199495669,90.458,17.175057289246197,0.5912,0.1125510254654898,153.0,0.0,5085.8,5.827139568909798
weibo_gadbench,hgb_graph_features,0.25,0.0,exposure,0.09430874549709559,0.011433812435648893,0.8453745711245249,0.02767158564819551,183.54000000000002,7.37928030215534,1.0,0.0,1267.9,18.74347293800643,1267.9,18.74347293800643
