dataset,model,label_fraction,design,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference,cal_low,cal_high,test_low,test_high
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,4,0.05317940746360922,0.7119565217391305,138.4,131.0,1.0,1487.2,864.0,1352.6,221.2,1131.4,313.2,1630.8
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,5,0.08049698398638604,0.6376344086021506,132.0,118.6,0.8,1468.2,864.0,1318.6,180.2,1138.4,277.8,1666.2
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,6,0.05244060529606063,0.7159574468085106,142.8,134.6,1.0,1433.6,864.0,1299.6,226.0,1073.6,342.4,1601.6
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,7,0.14494410400937444,0.7967914438502673,176.6,149.0,1.0,1443.0,864.0,1303.8,205.4,1098.4,316.8,1626.2
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,8,0.18558471306518998,0.5243243243243244,146.4,97.0,0.6,1461.8,864.0,1325.0,198.4,1126.6,289.2,1653.8
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,9,0.04541803413808089,0.443010752688172,89.6,82.4,0.6,1462.0,864.0,1322.0,218.8,1103.2,323.8,1619.2
amazon,hgb_attributes,0.25,zero_exposure,full_random,0,0.11440989780053576,0.7902702702702703,165.8,146.2,1.0,1491.6,864.0,1347.2,208.2,1139.0,307.4,1636.6
amazon,hgb_attributes,0.25,zero_exposure,full_random,1,0.11263648589764708,0.7879781420765027,162.8,144.2,1.0,1448.6,864.0,1318.2,199.4,1118.8,306.6,1637.4
amazon,hgb_attributes,0.25,zero_exposure,full_random,2,0.09822586391914123,0.7584699453551913,154.0,138.8,1.0,1472.6,864.0,1333.6,209.6,1124.0,288.2,1655.8
amazon,hgb_attributes,0.25,zero_exposure,full_random,3,0.06359798164716284,0.789247311827957,158.0,146.8,1.0,1500.0,864.0,1347.6,206.0,1141.6,291.2,1652.8
amazon,hgb_attributes,0.25,zero_exposure,full_random,4,0.07456247222915766,0.7532608695652174,150.0,138.6,1.0,1487.2,864.0,1352.6,221.2,1131.4,313.2,1630.8
amazon,hgb_attributes,0.25,zero_exposure,full_random,5,0.08185470548168397,0.7795698924731183,158.0,145.0,1.0,1468.2,864.0,1318.6,180.2,1138.4,277.8,1666.2
amazon,hgb_attributes,0.25,zero_exposure,full_random,6,0.08907810873668436,0.7648936170212766,158.0,143.8,1.0,1433.6,864.0,1299.6,226.0,1073.6,342.4,1601.6
amazon,hgb_attributes,0.25,zero_exposure,full_random,7,0.11193527323168831,0.7967914438502673,168.2,149.0,1.0,1443.0,864.0,1303.8,205.4,1098.4,316.8,1626.2
amazon,hgb_attributes,0.25,zero_exposure,full_random,8,0.0940276875289358,0.7772972972972972,158.8,143.8,1.0,1461.8,864.0,1325.0,198.4,1126.6,289.2,1653.8
amazon,hgb_attributes,0.25,zero_exposure,full_random,9,0.06860920300749254,0.789247311827957,158.0,146.8,1.0,1462.0,864.0,1322.0,218.8,1103.2,323.8,1619.2
amazon,hgb_attributes,0.25,zero_exposure,stratified,0,0.02746447205096612,0.5794594594594594,110.6,107.2,1.0,1491.6,864.0,1347.2,208.2,1139.0,307.4,1636.6
amazon,hgb_attributes,0.25,zero_exposure,stratified,1,0.042583758254241016,0.659016393442623,126.0,120.6,1.0,1448.6,864.0,1318.2,199.4,1118.8,306.6,1637.4
amazon,hgb_attributes,0.25,zero_exposure,stratified,2,0.051389329480298306,0.644808743169399,124.4,118.0,1.0,1472.6,864.0,1333.6,209.6,1124.0,288.2,1655.8
amazon,hgb_attributes,0.25,zero_exposure,stratified,3,0.03447785091620708,0.5096774193548387,100.0,94.8,1.0,1500.0,864.0,1347.6,206.0,1141.6,291.2,1652.8
amazon,hgb_attributes,0.25,zero_exposure,stratified,4,0.034614173084477576,0.5728260869565218,109.4,105.4,1.0,1487.2,864.0,1352.6,221.2,1131.4,313.2,1630.8
amazon,hgb_attributes,0.25,zero_exposure,stratified,5,0.038844777564111366,0.6043010752688172,117.0,112.4,1.0,1468.2,864.0,1318.6,180.2,1138.4,277.8,1666.2
amazon,hgb_attributes,0.25,zero_exposure,stratified,6,0.04022773025806393,0.474468085106383,94.0,89.2,0.8,1433.6,864.0,1299.6,226.0,1073.6,342.4,1601.6
amazon,hgb_attributes,0.25,zero_exposure,stratified,7,0.030510298291258196,0.572192513368984,110.4,107.0,1.0,1443.0,864.0,1303.8,205.4,1098.4,316.8,1626.2
amazon,hgb_attributes,0.25,zero_exposure,stratified,8,0.049103661701829004,0.6194594594594595,120.6,114.6,1.0,1461.8,864.0,1325.0,198.4,1126.6,289.2,1653.8
amazon,hgb_attributes,0.25,zero_exposure,stratified,9,0.04577498524866946,0.4376344086021505,86.2,81.4,1.0,1462.0,864.0,1322.0,218.8,1103.2,323.8,1619.2
amazon,hgb_attributes,0.5,exposure_80,filtered_low,0,0.11861728852612578,0.7935135135135136,167.0,146.8,1.0,2942.4,864.0,2661.0,2257.6,403.4,1551.6,392.4
amazon,hgb_attributes,0.5,exposure_80,filtered_low,1,0.12099642597618306,0.7967213114754099,166.0,145.8,1.0,2923.4,864.0,2653.2,2235.4,417.8,1560.8,383.2
amazon,hgb_attributes,0.5,exposure_80,filtered_low,2,0.12664260188800064,0.7759562841530054,162.6,142.0,1.0,2898.0,864.0,2627.0,2217.0,410.0,1569.0,375.0
amazon,hgb_attributes,0.5,exposure_80,filtered_low,3,0.11375250289527342,0.846236559139785,178.0,157.4,1.0,2936.6,864.0,2648.0,2248.2,399.8,1549.6,394.4
amazon,hgb_attributes,0.5,exposure_80,filtered_low,4,0.08888879794171416,0.7728260869565217,156.2,142.2,1.0,2938.6,864.0,2661.0,2255.0,406.0,1568.8,375.2
amazon,hgb_attributes,0.5,exposure_80,filtered_low,5,0.11641453440215839,0.810752688172043,170.8,150.8,1.0,2944.0,864.0,2654.4,2249.4,405.0,1561.6,382.4
amazon,hgb_attributes,0.5,exposure_80,filtered_low,6,0.09909203214238713,0.7691489361702127,160.6,144.6,1.0,2911.4,864.0,2632.4,2238.0,394.4,1558.0,386.0
amazon,hgb_attributes,0.5,exposure_80,filtered_low,7,0.1372114831186968,0.8192513368983956,178.0,153.2,1.0,2890.0,864.0,2616.4,2218.6,397.8,1559.4,383.6
amazon,hgb_attributes,0.5,exposure_80,filtered_low,8,0.11541984869424722,0.7837837837837838,164.0,145.0,1.0,2920.4,864.0,2637.6,2242.2,395.4,1547.4,395.6
amazon,hgb_attributes,0.5,exposure_80,filtered_low,9,0.0984917744425428,0.8043010752688172,166.4,149.6,1.0,2923.0,864.0,2648.8,2258.0,390.8,1558.8,384.2
amazon,hgb_attributes,0.5,exposure_80,full_random,0,0.10337191605400473,0.7805405405405406,161.6,144.4,1.0,2942.4,864.0,2661.0,2257.6,403.4,1551.6,392.4
amazon,hgb_attributes,0.5,exposure_80,full_random,1,0.10141835607413585,0.7846994535519125,160.0,143.6,1.0,2923.4,864.0,2653.2,2235.4,417.8,1560.8,383.2
amazon,hgb_attributes,0.5,exposure_80,full_random,2,0.10765658873803534,0.7650273224043715,157.0,140.0,1.0,2898.0,864.0,2627.0,2217.0,410.0,1569.0,375.0
amazon,hgb_attributes,0.5,exposure_80,full_random,3,0.06794283086307759,0.810752688172043,162.8,150.8,1.0,2936.6,864.0,2648.0,2248.2,399.8,1549.6,394.4
amazon,hgb_attributes,0.5,exposure_80,full_random,4,0.07134024841837609,0.7554347826086957,149.8,139.0,1.0,2938.6,864.0,2661.0,2255.0,406.0,1568.8,375.2
amazon,hgb_attributes,0.5,exposure_80,full_random,5,0.07390820122605543,0.7666666666666667,154.0,142.6,1.0,2944.0,864.0,2654.4,2249.4,405.0,1561.6,382.4
amazon,hgb_attributes,0.5,exposure_80,full_random,6,0.08085161329191065,0.7574468085106383,155.0,142.4,1.0,2911.4,864.0,2632.4,2238.0,394.4,1558.0,386.0
amazon,hgb_attributes,0.5,exposure_80,full_random,7,0.10439552681046176,0.7967914438502673,166.4,149.0,1.0,2890.0,864.0,2616.4,2218.6,397.8,1559.4,383.6
amazon,hgb_attributes,0.5,exposure_80,full_random,8,0.10005091722115922,0.7794594594594595,160.4,144.2,1.0,2920.4,864.0,2637.6,2242.2,395.4,1547.4,395.6
amazon,hgb_attributes,0.5,exposure_80,full_random,9,0.07464607447012267,0.7967741935483871,160.6,148.2,1.0,2923.0,864.0,2648.8,2258.0,390.8,1558.8,384.2
amazon,hgb_attributes,0.5,exposure_80,stratified,0,0.031457103185177915,0.6345945945945946,121.2,117.4,1.0,2942.4,864.0,2661.0,2257.6,403.4,1551.6,392.4
amazon,hgb_attributes,0.5,exposure_80,stratified,1,0.05440742675463831,0.7278688524590164,141.0,133.2,1.0,2923.4,864.0,2653.2,2235.4,417.8,1560.8,383.2
amazon,hgb_attributes,0.5,exposure_80,stratified,2,0.05063518249317393,0.701639344262295,135.2,128.4,1.0,2898.0,864.0,2627.0,2217.0,410.0,1569.0,375.0
amazon,hgb_attributes,0.5,exposure_80,stratified,3,0.03742747007506593,0.6387096774193548,124.0,118.8,1.0,2936.6,864.0,2648.0,2248.2,399.8,1549.6,394.4
amazon,hgb_attributes,0.5,exposure_80,stratified,4,0.04106789069003618,0.65,124.6,119.6,1.0,2938.6,864.0,2661.0,2255.0,406.0,1568.8,375.2
amazon,hgb_attributes,0.5,exposure_80,stratified,5,0.04955177550087151,0.5451612903225806,105.2,101.4,1.0,2944.0,864.0,2654.4,2249.4,405.0,1561.6,382.4
amazon,hgb_attributes,0.5,exposure_80,stratified,6,0.03364943462826142,0.4659574468085106,91.0,87.6,1.0,2911.4,864.0,2632.4,2238.0,394.4,1558.0,386.0
amazon,hgb_attributes,0.5,exposure_80,stratified,7,0.01737121737121737,0.4898395721925134,93.4,91.6,1.0,2890.0,864.0,2616.4,2218.6,397.8,1559.4,383.6
amazon,hgb_attributes,0.5,exposure_80,stratified,8,0.030340948178499992,0.5848648648648649,111.6,108.2,1.0,2920.4,864.0,2637.6,2242.2,395.4,1547.4,395.6
amazon,hgb_attributes,0.5,exposure_80,stratified,9,0.04848575509003975,0.37526881720430105,73.2,69.8,1.0,2923.0,864.0,2648.8,2258.0,390.8,1558.8,384.2
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,0,0.1819230003850756,0.8302702702702703,193.8,153.6,1.0,2942.4,864.0,2661.0,231.8,2429.2,178.0,1766.0
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,1,0.10350716683732149,0.6819672131147542,145.8,124.8,1.0,2923.4,864.0,2653.2,239.6,2413.6,174.0,1770.0
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,2,0.08797530245391466,0.7497267759562842,150.8,137.2,1.0,2898.0,864.0,2627.0,235.0,2392.0,174.6,1769.4
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,3,0.09329537256211355,0.8010752688172044,166.2,149.0,1.0,2936.6,864.0,2648.0,228.2,2419.8,164.2,1779.8
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,4,0.19810205139547124,0.7978260869565217,189.0,146.8,1.0,2938.6,864.0,2661.0,237.4,2423.6,167.2,1776.8
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,5,0.09638500170882804,0.7763440860215054,161.0,144.4,1.0,2944.0,864.0,2654.4,230.6,2423.8,175.2,1768.8
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,6,0.0861132412560984,0.7351063829787233,152.8,138.2,1.0,2911.4,864.0,2632.4,261.2,2371.2,197.6,1746.4
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,7,0.1581051038513725,0.6802139037433156,159.8,127.2,0.8,2890.0,864.0,2616.4,243.8,2372.6,183.6,1759.4
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,8,0.29769018408066045,0.8691891891891892,241.0,160.8,1.0,2920.4,864.0,2637.6,222.0,2415.6,158.2,1784.8
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,9,0.09475380610794167,0.7763440860215054,160.2,144.4,1.0,2923.0,864.0,2648.8,260.0,2388.8,196.0,1747.0
amazon,hgb_attributes,0.5,zero_exposure,full_random,0,0.10337191605400473,0.7805405405405406,161.6,144.4,1.0,2942.4,864.0,2661.0,231.8,2429.2,178.0,1766.0
amazon,hgb_attributes,0.5,zero_exposure,full_random,1,0.10141835607413585,0.7846994535519125,160.0,143.6,1.0,2923.4,864.0,2653.2,239.6,2413.6,174.0,1770.0
amazon,hgb_attributes,0.5,zero_exposure,full_random,2,0.10765658873803534,0.7650273224043715,157.0,140.0,1.0,2898.0,864.0,2627.0,235.0,2392.0,174.6,1769.4
amazon,hgb_attributes,0.5,zero_exposure,full_random,3,0.06794283086307759,0.810752688172043,162.8,150.8,1.0,2936.6,864.0,2648.0,228.2,2419.8,164.2,1779.8
amazon,hgb_attributes,0.5,zero_exposure,full_random,4,0.07134024841837609,0.7554347826086957,149.8,139.0,1.0,2938.6,864.0,2661.0,237.4,2423.6,167.2,1776.8
amazon,hgb_attributes,0.5,zero_exposure,full_random,5,0.07390820122605543,0.7666666666666667,154.0,142.6,1.0,2944.0,864.0,2654.4,230.6,2423.8,175.2,1768.8
amazon,hgb_attributes,0.5,zero_exposure,full_random,6,0.08085161329191065,0.7574468085106383,155.0,142.4,1.0,2911.4,864.0,2632.4,261.2,2371.2,197.6,1746.4
amazon,hgb_attributes,0.5,zero_exposure,full_random,7,0.10439552681046176,0.7967914438502673,166.4,149.0,1.0,2890.0,864.0,2616.4,243.8,2372.6,183.6,1759.4
amazon,hgb_attributes,0.5,zero_exposure,full_random,8,0.10005091722115922,0.7794594594594595,160.4,144.2,1.0,2920.4,864.0,2637.6,222.0,2415.6,158.2,1784.8
amazon,hgb_attributes,0.5,zero_exposure,full_random,9,0.07464607447012267,0.7967741935483871,160.6,148.2,1.0,2923.0,864.0,2648.8,260.0,2388.8,196.0,1747.0
amazon,hgb_attributes,0.5,zero_exposure,stratified,0,0.03776346688016279,0.664864864864865,128.0,123.0,1.0,2942.4,864.0,2661.0,231.8,2429.2,178.0,1766.0
amazon,hgb_attributes,0.5,zero_exposure,stratified,1,0.05032525283695871,0.6972677595628415,134.4,127.6,1.0,2923.4,864.0,2653.2,239.6,2413.6,174.0,1770.0
amazon,hgb_attributes,0.5,zero_exposure,stratified,2,0.052634870969878914,0.6863387978142076,132.6,125.6,1.0,2898.0,864.0,2627.0,235.0,2392.0,174.6,1769.4
amazon,hgb_attributes,0.5,zero_exposure,stratified,3,0.038670228595552664,0.6408602150537634,125.0,119.2,1.0,2936.6,864.0,2648.0,228.2,2419.8,164.2,1779.8
amazon,hgb_attributes,0.5,zero_exposure,stratified,4,0.03949136530777103,0.6543478260869565,125.4,120.4,1.0,2938.6,864.0,2661.0,237.4,2423.6,167.2,1776.8
amazon,hgb_attributes,0.5,zero_exposure,stratified,5,0.04295785808371275,0.6419354838709677,124.8,119.4,1.0,2944.0,864.0,2654.4,230.6,2423.8,175.2,1768.8
amazon,hgb_attributes,0.5,zero_exposure,stratified,6,0.03555977254379638,0.6787234042553191,132.4,127.6,1.0,2911.4,864.0,2632.4,261.2,2371.2,197.6,1746.4
amazon,hgb_attributes,0.5,zero_exposure,stratified,7,0.0294566684853609,0.6524064171122994,125.8,122.0,1.0,2890.0,864.0,2616.4,243.8,2372.6,183.6,1759.4
amazon,hgb_attributes,0.5,zero_exposure,stratified,8,0.04671376558449218,0.6778378378378378,131.8,125.4,1.0,2920.4,864.0,2637.6,222.0,2415.6,158.2,1784.8
amazon,hgb_attributes,0.5,zero_exposure,stratified,9,0.04762949190741007,0.5150537634408602,101.6,95.8,1.0,2923.0,864.0,2648.8,260.0,2388.8,196.0,1747.0
amazon,hgb_attributes,1.0,exposure_80,filtered_low,0,0.12672441690853936,0.8075675675675675,171.4,149.4,1.0,5831.0,864.0,5276.0,4504.8,771.2,1551.8,392.2
amazon,hgb_attributes,1.0,exposure_80,filtered_low,1,0.12250812796826034,0.8,167.0,146.4,1.0,5831.0,864.0,5283.0,4497.8,785.2,1560.4,383.6
amazon,hgb_attributes,1.0,exposure_80,filtered_low,2,0.1341925793886578,0.7825136612021858,165.4,143.2,1.0,5831.0,864.0,5282.0,4497.2,784.8,1566.2,377.8
amazon,hgb_attributes,1.0,exposure_80,filtered_low,3,0.1131321750072987,0.843010752688172,177.0,156.8,1.0,5831.0,864.0,5272.0,4514.2,757.8,1545.6,398.4
amazon,hgb_attributes,1.0,exposure_80,filtered_low,4,0.09949273029790337,0.7815217391304348,159.8,143.8,1.0,5831.0,864.0,5281.0,4495.8,785.2,1570.2,373.8
amazon,hgb_attributes,1.0,exposure_80,filtered_low,5,0.12252724282907283,0.810752688172043,172.0,150.8,1.0,5831.0,864.0,5275.0,4498.6,776.4,1560.6,383.4
amazon,hgb_attributes,1.0,exposure_80,filtered_low,6,0.10563579582810352,0.7723404255319148,162.4,145.2,1.0,5831.0,864.0,5268.0,4500.2,767.8,1556.4,387.6
amazon,hgb_attributes,1.0,exposure_80,filtered_low,7,0.1341673884492272,0.8149732620320856,176.2,152.4,1.0,5832.0,864.0,5270.0,4501.8,768.2,1557.8,385.2
amazon,hgb_attributes,1.0,exposure_80,filtered_low,8,0.11345382824510986,0.7827027027027027,163.4,144.8,1.0,5832.0,864.0,5276.0,4514.0,762.0,1549.0,394.0
amazon,hgb_attributes,1.0,exposure_80,filtered_low,9,0.11208588764303977,0.80752688172043,169.4,150.2,1.0,5832.0,864.0,5272.0,4501.4,770.6,1554.2,388.8
amazon,hgb_attributes,1.0,exposure_80,full_random,0,0.11250374184920606,0.787027027027027,164.4,145.6,1.0,5831.0,864.0,5276.0,4504.8,771.2,1551.8,392.2
amazon,hgb_attributes,1.0,exposure_80,full_random,1,0.09931795328407789,0.7814207650273224,159.0,143.0,1.0,5831.0,864.0,5283.0,4497.8,785.2,1560.4,383.6
amazon,hgb_attributes,1.0,exposure_80,full_random,2,0.11059351613636197,0.7704918032786885,158.6,141.0,1.0,5831.0,864.0,5282.0,4497.2,784.8,1566.2,377.8
amazon,hgb_attributes,1.0,exposure_80,full_random,3,0.08240237786341667,0.8301075268817204,168.6,154.4,1.0,5831.0,864.0,5272.0,4514.2,757.8,1545.6,398.4
amazon,hgb_attributes,1.0,exposure_80,full_random,4,0.07083341807211997,0.7586956521739131,150.4,139.6,1.0,5831.0,864.0,5281.0,4495.8,785.2,1570.2,373.8
amazon,hgb_attributes,1.0,exposure_80,full_random,5,0.0737982542485325,0.7655913978494624,153.8,142.4,1.0,5831.0,864.0,5275.0,4498.6,776.4,1560.6,383.4
amazon,hgb_attributes,1.0,exposure_80,full_random,6,0.07938719147939603,0.7585106382978724,155.0,142.6,1.0,5831.0,864.0,5268.0,4500.2,767.8,1556.4,387.6
amazon,hgb_attributes,1.0,exposure_80,full_random,7,0.1054060491019844,0.8021390374331551,167.8,150.0,1.0,5832.0,864.0,5270.0,4501.8,768.2,1557.8,385.2
amazon,hgb_attributes,1.0,exposure_80,full_random,8,0.10058896661076064,0.7794594594594594,160.4,144.2,1.0,5832.0,864.0,5276.0,4514.0,762.0,1549.0,394.0
amazon,hgb_attributes,1.0,exposure_80,full_random,9,0.08258235800936682,0.7978494623655914,162.0,148.4,1.0,5832.0,864.0,5272.0,4501.4,770.6,1554.2,388.8
amazon,hgb_attributes,1.0,exposure_80,stratified,0,0.03696811805929622,0.6443243243243243,123.8,119.2,1.0,5831.0,864.0,5276.0,4504.8,771.2,1551.8,392.2
amazon,hgb_attributes,1.0,exposure_80,stratified,1,0.0404876070030888,0.7060109289617487,134.8,129.2,1.0,5831.0,864.0,5283.0,4497.8,785.2,1560.4,383.6
