dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision,n,fdp,power,true_discoveries
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,400,0.65,0.06047516198704104,140
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,800,0.6575,0.1183585313174946,274
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,1600,0.63625,0.25140388768898486,582
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,2116,0.6370510396975425,0.33174946004319655,768
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,25,0.24,0.008207343412526998,19
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,50,0.32,0.01468682505399568,34
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,100,0.35,0.028077753779697623,65
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,200,0.365,0.05485961123110151,127
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,400,0.3825,0.10669546436285098,247
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,800,0.445,0.191792656587473,444
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,1600,0.503125,0.3434125269978402,795
tolokers,hgb_graph_features,1,1176,251,10582,0.7804071771996235,0.46156267882382745,2116,0.5293005671077504,0.4302375809935205,996
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,25,0.56,0.004763967085318319,11
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,50,0.64,0.007795582503248159,18
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,100,0.62,0.01645734084019056,38
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,200,0.65,0.030316154179298397,70
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,400,0.635,0.06323083585967952,146
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,800,0.66,0.11779991338241663,272
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,1600,0.6125,0.2685145084452144,620
tolokers,hgb_attributes,2,1176,257,10582,0.7046639061347246,0.34323279598364553,2116,0.6176748582230623,0.35036812472932005,809
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,25,0.32,0.0073624945864010395,17
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,50,0.3,0.015158077089649198,35
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,100,0.3,0.030316154179298397,70
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,200,0.34,0.05716760502381984,132
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,400,0.395,0.10480727587700303,242
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,800,0.42,0.20095279341706365,464
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,1600,0.48125,0.3594629709831096,830
tolokers,hgb_graph_features,2,1176,257,10582,0.7907947432874383,0.4771489130536176,2116,0.5151228733459358,0.4443482026851451,1026
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,25,0.72,0.003017241379310345,7
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,50,0.68,0.006896551724137931,16
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,100,0.61,0.016810344827586206,39
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,200,0.595,0.034913793103448276,81
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,400,0.6125,0.0668103448275862,155
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,800,0.59875,0.13836206896551725,321
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,1600,0.595,0.2793103448275862,648
tolokers,hgb_attributes,3,1176,246,10582,0.7208174734346697,0.3605441375539946,2116,0.6214555765595463,0.3452586206896552,801
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,25,0.2,0.008620689655172414,20
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,50,0.26,0.015948275862068966,37
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,100,0.32,0.029310344827586206,68
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,200,0.335,0.05732758620689655,133
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,400,0.385,0.1060344827586207,246
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,800,0.42625,0.1978448275862069,459
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,1600,0.46125,0.371551724137931,862
tolokers,hgb_graph_features,3,1176,246,10582,0.791601348926118,0.4876148193893379,2116,0.5,0.4560344827586207,1058
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,25,0.76,0.0025884383088869713,6
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,50,0.56,0.009490940465918895,22
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,100,0.61,0.016824849007765316,39
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,200,0.595,0.034943917169974116,81
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,400,0.5975,0.06945642795513374,161
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,800,0.63,0.1276962899050906,296
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,1600,0.6175,0.2640207075064711,612
tolokers,hgb_attributes,4,1176,248,10582,0.701981138812626,0.35046758658628174,2116,0.6044423440453687,0.3610871440897325,837
tolokers,hgb_graph_features,4,1176,248,10582,0.7954294310196643,0.4718154572232794,25,0.64,0.003882657463330457,9
tolokers,hgb_graph_features,4,1176,248,10582,0.7954294310196643,0.4718154572232794,50,0.52,0.010353753235547885,24
tolokers,hgb_graph_features,4,1176,248,10582,0.7954294310196643,0.4718154572232794,100,0.46,0.023295944779982744,54
tolokers,hgb_graph_features,4,1176,248,10582,0.7954294310196643,0.4718154572232794,200,0.435,0.04874892148403796,113
