dataset,model,label_fraction,design,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std,cal_low_mean,cal_low_std,cal_high_mean,cal_high_std,test_low_mean,test_low_std,test_high_mean,test_high_std
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,0.11909248770818034,0.013198412902756858,0.6646283844456049,0.008081296043449222,306.74,8.25270326081769,269.44,3.491959017196191,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,5292.9800000000005,22.064239544263984,1050.24,7.6569793870255465,7081.56,12.502373108067715,1773.64,12.61315010437743
tfinance,hgb_attributes,0.25,exposure_80,full_random,0.09299338257119841,0.015400370626766935,0.6504172131434698,0.01128728416487307,291.15999999999997,9.739176328394278,263.68,4.802962049032292,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,5292.9800000000005,22.064239544263984,1050.24,7.6569793870255465,7081.56,12.502373108067715,1773.64,12.61315010437743
tfinance,hgb_attributes,0.25,exposure_80,stratified,0.0366469048906356,0.00963102715596365,0.6233307934773494,0.01755858016416429,262.5,9.299103899480487,252.7,7.296422258735982,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,5292.9800000000005,22.064239544263984,1050.24,7.6569793870255465,7081.56,12.502373108067715,1773.64,12.61315010437743
tfinance,hgb_attributes,0.25,zero_exposure,filtered_low,0.06715856134200708,0.012626917181578904,0.6265190409930973,0.014151930939113995,272.84000000000003,9.922275724628697,254.0,6.294265467691819,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,2903.46,63.35922628596057,3439.7599999999998,59.70846208406692,3906.0199999999995,85.45067193026235,4949.18,85.29011666072451
tfinance,hgb_attributes,0.25,zero_exposure,full_random,0.09299338257119841,0.015400370626766935,0.6504172131434698,0.01128728416487307,291.15999999999997,9.739176328394278,263.68,4.802962049032292,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,2903.46,63.35922628596057,3439.7599999999998,59.70846208406692,3906.0199999999995,85.45067193026235,4949.18,85.29011666072451
tfinance,hgb_attributes,0.25,zero_exposure,stratified,0.04550738909142995,0.00993322383133576,0.6330184253868553,0.014996379081049463,269.1,8.332133246920893,256.62,5.94227790217411,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,2903.46,63.35922628596057,3439.7599999999998,59.70846208406692,3906.0199999999995,85.45067193026235,4949.18,85.29011666072451
tfinance,hgb_attributes,0.5,exposure_80,filtered_low,0.12652431394353444,0.01377596254461718,0.6686255709661739,0.007516399254580276,310.9,7.90794256147296,271.06,3.242838263003568,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,10574.619999999999,23.567859470049378,2103.12,12.267826032168761,7085.76,10.079153403601664,1769.44,10.091492566623748
tfinance,hgb_attributes,0.5,exposure_80,full_random,0.09327769117446823,0.011753260489967627,0.650620853500384,0.009884463313763785,291.24,7.458209496178602,263.76,4.08553002137489,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,10574.619999999999,23.567859470049378,2103.12,12.267826032168761,7085.76,10.079153403601664,1769.44,10.091492566623748
tfinance,hgb_attributes,0.5,exposure_80,stratified,0.03687508272430688,0.009093666676359144,0.6276859411994534,0.012257914898468418,264.32,6.002369902333966,254.45999999999998,4.902652343374958,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,10574.619999999999,23.567859470049378,2103.12,12.267826032168761,7085.76,10.079153403601664,1769.44,10.091492566623748
tfinance,hgb_attributes,0.5,zero_exposure,filtered_low,0.06706186116238234,0.01265624875989889,0.626277088934281,0.017299288599663478,272.58000000000004,10.482768930222791,253.9,7.399249211162502,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,4896.12,84.129910125815,7781.62,82.11322535242266,3295.3599999999997,57.13460130837247,5559.84,56.99152373623469
