dataset,model,label_fraction,design,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std,cal_low_mean,cal_low_std,cal_high_mean,cal_high_std,test_low_mean,test_low_std,test_high_mean,test_high_std
amazon,hgb_attributes,0.25,exposure_80,filtered_low,0.11024359798057456,0.020058974185511724,0.7933682016568017,0.02174091195633106,165.76,6.95943803606138,147.02,4.562114519484237,1.0,0.0,1466.8600000000001,21.64605173133322,864.0,0.0,1326.82,18.2482754131879,1121.74,12.546110508396227,205.08,6.943710183404201,1558.0,8.913410620457762,385.7,8.808707812916335
amazon,hgb_attributes,0.25,exposure_80,full_random,0.09089376794801295,0.018635254664864095,0.7787026101565055,0.014979585691946698,159.16,5.3239918190103275,144.3,3.3655113529249454,1.0,0.0,1466.8600000000001,21.64605173133322,864.0,0.0,1326.82,18.2482754131879,1121.74,12.546110508396227,205.08,6.943710183404201,1558.0,8.913410620457762,385.7,8.808707812916335
amazon,hgb_attributes,0.25,exposure_80,stratified,0.03613032963666819,0.009466562191513159,0.5303161785085008,0.12462642754737151,102.36,24.040669245629957,98.17999999999999,22.718069166781472,0.9400000000000001,0.09660917830792956,1466.8600000000001,21.64605173133322,864.0,0.0,1326.82,18.2482754131879,1121.74,12.546110508396227,205.08,6.943710183404201,1558.0,8.913410620457762,385.7,8.808707812916335
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,0.09304390875861737,0.046920426225949524,0.6790732348906072,0.1128593910942994,144.12,23.625635793913922,125.82000000000001,20.90687287313273,0.9,0.16996731711975951,1466.8600000000001,21.64605173133322,864.0,0.0,1326.82,18.2482754131879,207.32,13.176477357607972,1119.5,21.746877170450652,305.65999999999997,19.50727499621046,1638.04,19.586117532579056
amazon,hgb_attributes,0.25,zero_exposure,full_random,0.09089376794801295,0.018635254664864095,0.7787026101565055,0.014979585691946698,159.16,5.3239918190103275,144.3,3.3655113529249454,1.0,0.0,1466.8600000000001,21.64605173133322,864.0,0.0,1326.82,18.2482754131879,207.32,13.176477357607972,1119.5,21.746877170450652,305.65999999999997,19.50727499621046,1638.04,19.586117532579056
amazon,hgb_attributes,0.25,zero_exposure,stratified,0.03949910368501221,0.00787536478198164,0.5673843644188636,0.07261981539838736,109.85999999999999,13.114216204816305,105.05999999999999,12.818753622893468,0.9800000000000001,0.06324555320336758,1466.8600000000001,21.64605173133322,864.0,0.0,1326.82,18.2482754131879,207.32,13.176477357607972,1119.5,21.746877170450652,305.65999999999997,19.50727499621046,1638.04,19.586117532579056
amazon,hgb_attributes,0.5,exposure_80,filtered_low,0.11355272900273294,0.014407210321760646,0.7972491575531488,0.023923446235831487,166.95999999999998,7.0217440062201755,147.74,4.962123201480057,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,2241.94,14.883562894832833,402.04,8.095430810031052,1558.5,7.321353851728693,385.2,7.185788443556879
amazon,hgb_attributes,0.5,exposure_80,full_random,0.08855822731673393,0.016060628880837844,0.7793593359312982,0.01838379091884382,158.76,4.836711463151151,144.42000000000002,3.8441297237909793,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,2241.94,14.883562894832833,402.04,8.095430810031052,1558.5,7.321353851728693,385.2,7.185788443556879
amazon,hgb_attributes,0.5,exposure_80,stratified,0.03943942039669823,0.011581648149480438,0.5813904460128032,0.111682216167384,112.04,21.35786089996425,107.6,19.93634313954738,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,2241.94,14.883562894832833,402.04,8.095430810031052,1558.5,7.321353851728693,385.2,7.185788443556879
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,0.13978502306387977,0.06944206240886684,0.7698063263069274,0.060305672026848355,172.04000000000002,28.814471672716433,142.64000000000001,11.154590485037488,0.9800000000000001,0.06324555320336757,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,238.95999999999998,12.92638988873365,2405.02,21.893773848593064,176.85999999999999,12.741201757378395,1766.8400000000001,12.813118277765152
amazon,hgb_attributes,0.5,zero_exposure,full_random,0.08855822731673393,0.016060628880837844,0.7793593359312982,0.01838379091884382,158.76,4.836711463151151,144.42000000000002,3.8441297237909793,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,238.95999999999998,12.92638988873365,2405.02,21.893773848593064,176.85999999999999,12.741201757378395,1766.8400000000001,12.813118277765152
amazon,hgb_attributes,0.5,zero_exposure,stratified,0.04212027411950964,0.007235978376686576,0.6509636369899918,0.05137028974771048,126.17999999999999,9.372513003458577,120.6,9.263068845930295,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,238.95999999999998,12.92638988873365,2405.02,21.893773848593064,176.85999999999999,12.741201757378395,1766.8400000000001,12.813118277765152
amazon,hgb_attributes,1.0,exposure_80,filtered_low,0.11839201725652126,0.011612802305231262,0.8002909680747535,0.02111946403883779,168.4,5.808805576211185,148.3,4.369846170697039,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,4502.58,6.5965984500431425,772.92,9.772614798507117,1557.22,7.5480387445276,386.48,7.405223381730844
amazon,hgb_attributes,1.0,exposure_80,full_random,0.0917413826655223,0.015605253360957763,0.7831292769794211,0.022328238674953187,160.0,5.933707853348432,145.12,4.563819063508597,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,4502.58,6.5965984500431425,772.92,9.772614798507117,1557.22,7.5480387445276,386.48,7.405223381730844
