dataset,model,label_fraction,removed,mean,std,count,lower,upper,metric
amazon,hgb_attributes,0.25,0.0,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_attributes,0.25,0.05,0.005522514179945611,0.005266393395604851,10,0.0017551632948413828,0.00928986506504984,fdp
amazon,hgb_attributes,0.25,0.1,0.01612497723507764,0.0073157588161042505,10,0.01089159864356169,0.021358355826593588,fdp
amazon,hgb_attributes,0.25,0.2,0.02266602079819912,0.01006626780699012,10,0.015465046605118559,0.02986699499127968,fdp
amazon,hgb_attributes,0.25,0.4,0.04371373257470809,0.013272399572071459,10,0.03421922988202468,0.053208235267391504,fdp
amazon,hgb_attributes,0.25,0.6,0.037683570705538474,0.020106857970948425,10,0.02329999099864921,0.05206715041242774,fdp
amazon,hgb_attributes,0.25,0.8,0.02662882480062373,0.022648360351841486,10,0.010427163814021728,0.04283048578722573,fdp
amazon,hgb_attributes,0.25,0.9,0.025296111583727344,0.038703068091783165,10,-0.002390395457982617,0.05298261862543731,fdp
amazon,hgb_attributes,0.25,0.97,0.00161071443859683,0.0037624440177854803,10,-0.0010807758728540277,0.004302204750047688,fdp
amazon,hgb_attributes,0.5,0.0,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_attributes,0.5,0.05,0.007261883051898644,0.004837039238238411,10,0.0038016736283737135,0.010722092475423575,fdp
amazon,hgb_attributes,0.5,0.1,0.018309816395384454,0.008842094737312192,10,0.011984562861801308,0.0246350699289676,fdp
amazon,hgb_attributes,0.5,0.2,0.030986237913682275,0.011905329898398813,10,0.022469677953003656,0.039502797874360895,fdp
amazon,hgb_attributes,0.5,0.4,0.044201226882043754,0.012996614480285431,10,0.03490400895933323,0.053498444804754276,fdp
amazon,hgb_attributes,0.5,0.6,0.06006419882854687,0.019252229416753527,10,0.04629198355994065,0.07383641409715308,fdp
amazon,hgb_attributes,0.5,0.8,0.05594003289408441,0.012450731931588473,10,0.04703331582243313,0.0648467499657357,fdp
amazon,hgb_attributes,0.5,0.9,0.07476334413591834,0.052188541416445536,10,0.03742991062112797,0.11209677765070872,fdp
amazon,hgb_attributes,0.5,0.97,0.048097278895968404,0.04382456157050654,10,0.01674707612536995,0.07944748166656686,fdp
amazon,hgb_attributes,1.0,0.0,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_attributes,1.0,0.05,0.00580642959945304,0.0016564224317907985,10,0.00462149637366677,0.00699136282523931,fdp
amazon,hgb_attributes,1.0,0.1,0.02208591149199703,0.007212037779960411,10,0.01692673045998101,0.02724509252401305,fdp
amazon,hgb_attributes,1.0,0.2,0.03324559679431131,0.012420790654306721,10,0.02436029842213711,0.04213089516648552,fdp
amazon,hgb_attributes,1.0,0.4,0.05234918647610228,0.01259796809363141,10,0.043337142999124965,0.0613612299530796,fdp
amazon,hgb_attributes,1.0,0.6,0.0668659053821599,0.014697819381590663,10,0.05635171878482954,0.07738009197949026,fdp
amazon,hgb_attributes,1.0,0.8,0.07305641160653384,0.022882962078924537,10,0.056686926654310334,0.08942589655875735,fdp
amazon,hgb_attributes,1.0,0.9,0.0935366517348178,0.03841459921016061,10,0.06605650289973417,0.12101680056990144,fdp
amazon,hgb_attributes,1.0,0.97,0.10671668460229815,0.05530874601868976,10,0.06715119117725092,0.1462821780273454,fdp
amazon,hgb_graph_features,0.25,0.0,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_graph_features,0.25,0.05,0.007390246269214598,0.006655943890933836,10,0.0026288708410818224,0.012151621697347374,fdp
amazon,hgb_graph_features,0.25,0.1,0.022819530384265877,0.018377470711780412,10,0.009673079796320132,0.035965980972211625,fdp
amazon,hgb_graph_features,0.25,0.2,0.04766710436657766,0.02714124491370362,10,0.028251427380918598,0.06708278135223672,fdp
amazon,hgb_graph_features,0.25,0.4,0.06574875220252228,0.03666864953382686,10,0.039517580525881245,0.09197992387916332,fdp
amazon,hgb_graph_features,0.25,0.6,0.055716531193732176,0.037415997284921496,10,0.028950739142183945,0.0824823232452804,fdp
amazon,hgb_graph_features,0.25,0.8,0.028222154784178027,0.03346804663773584,10,0.004280556492525411,0.05216375307583064,fdp
amazon,hgb_graph_features,0.25,0.9,0.01280463215455116,0.032364610556921365,10,-0.01034761551639362,0.03595687982549594,fdp
amazon,hgb_graph_features,0.25,0.97,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_graph_features,0.5,0.0,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_graph_features,0.5,0.05,0.01156562807235531,0.008517103567701571,10,0.0054728592163326055,0.017658396928378017,fdp
amazon,hgb_graph_features,0.5,0.1,0.027139350772115777,0.01568702454687843,10,0.015917529428374957,0.0383611721158566,fdp
amazon,hgb_graph_features,0.5,0.2,0.053671933275395954,0.021158439762177305,10,0.038536097271958114,0.0688077692788338,fdp
amazon,hgb_graph_features,0.5,0.4,0.07597131405053234,0.03211707819178603,10,0.05299614036643838,0.0989464877346263,fdp
amazon,hgb_graph_features,0.5,0.6,0.08686283953218647,0.03985637276659404,10,0.0583513080266623,0.11537437103771064,fdp
amazon,hgb_graph_features,0.5,0.8,0.07700528850983024,0.043934197740688026,10,0.04557665674774829,0.10843392027191219,fdp
amazon,hgb_graph_features,0.5,0.9,0.04537205530577406,0.04522710716061493,10,0.01301853186135287,0.07772557875019526,fdp
amazon,hgb_graph_features,0.5,0.97,0.01977450929164112,0.028752777933668133,10,-0.0007939889690493154,0.040343007552331556,fdp
amazon,hgb_graph_features,1.0,0.0,0.0,0.0,10,0.0,0.0,fdp
amazon,hgb_graph_features,1.0,0.05,0.011165073759638398,0.01000230905760174,10,0.004009852899630063,0.018320294619646734,fdp
amazon,hgb_graph_features,1.0,0.1,0.031245622764389174,0.016030286110472473,10,0.019778246890577063,0.042712998638201286,fdp
amazon,hgb_graph_features,1.0,0.2,0.06247061888013163,0.020509676086743072,10,0.04779888045225858,0.07714235730800469,fdp
amazon,hgb_graph_features,1.0,0.4,0.08945675261512771,0.028633185854068623,10,0.06897380537447818,0.10993969985577724,fdp
amazon,hgb_graph_features,1.0,0.6,0.10601252242863404,0.03762823736340396,10,0.07909490297121963,0.13293014188604846,fdp
amazon,hgb_graph_features,1.0,0.8,0.10486978736572461,0.04865891550504089,10,0.07006129612215056,0.13967827860929866,fdp
amazon,hgb_graph_features,1.0,0.9,0.10679485033901634,0.059872469447846924,10,0.06396466584198142,0.14962503483605127,fdp
amazon,hgb_graph_features,1.0,0.97,0.07877091015319768,0.07480421771295226,10,0.025259196416504162,0.1322826238898912,fdp
tfinance,hgb_attributes,0.25,0.0,0.0,0.0,10,0.0,0.0,fdp
tfinance,hgb_attributes,0.25,0.05,0.020186566890051022,0.009514410774809393,10,0.01338036743604942,0.026992766344052625,fdp
tfinance,hgb_attributes,0.25,0.1,0.024837769034868323,0.010071402935198315,10,0.017633121392360986,0.03204241667737566,fdp
tfinance,hgb_attributes,0.25,0.2,0.023886331233701243,0.013890805704376853,10,0.013949447443578558,0.033823215023823926,fdp
tfinance,hgb_attributes,0.25,0.4,0.003149525184059111,0.013529791539486368,10,-0.006529104630055933,0.012828154998174156,fdp
tfinance,hgb_attributes,0.25,0.6,-0.02267824150279993,0.010785810520067246,10,-0.03039394554482108,-0.014962537460778778,fdp
tfinance,hgb_attributes,0.25,0.8,-0.02287281708176327,0.009990355726757385,10,-0.030019487044002743,-0.015726147119523796,fdp
tfinance,hgb_attributes,0.25,0.9,-0.01920392813852833,0.010006063407185193,10,-0.026361834698438617,-0.012046021578618043,fdp
tfinance,hgb_attributes,0.25,0.97,-0.0015468673080487904,0.006257078581201665,10,-0.00602291168231253,0.0029291770662149487,fdp
tfinance,hgb_attributes,0.5,0.0,0.0,0.0,10,0.0,0.0,fdp
tfinance,hgb_attributes,0.5,0.05,0.021544753789729983,0.007138736073265114,10,0.01643800963981788,0.026651497939642086,fdp
tfinance,hgb_attributes,0.5,0.1,0.030510116670542077,0.008166218441841134,10,0.02466835591250602,0.036351877428578136,fdp
tfinance,hgb_attributes,0.5,0.2,0.03373747495462064,0.012985206589941367,10,0.0244484177450503,0.043026532164190986,fdp
tfinance,hgb_attributes,0.5,0.4,0.015578215191847138,0.014236563277317382,10,0.0053939913341297906,0.025762439049564486,fdp
tfinance,hgb_attributes,0.5,0.6,-0.023904943550199634,0.010780420783462377,10,-0.03161679200691913,-0.016193095093480138,fdp
tfinance,hgb_attributes,0.5,0.8,-0.024394304468542606,0.008320412857998128,10,-0.03034636926703868,-0.01844223967004653,fdp
tfinance,hgb_attributes,0.5,0.9,-0.02249091485455278,0.007892778893930235,10,-0.028137068743625277,-0.016844760965480283,fdp
tfinance,hgb_attributes,0.5,0.97,-0.017193844069798563,0.005615336296153441,10,-0.02121081366859966,-0.013176874470997465,fdp
tfinance,hgb_attributes,1.0,0.0,0.0,0.0,10,0.0,0.0,fdp
tfinance,hgb_attributes,1.0,0.05,0.027406182375714506,0.006148035577797931,10,0.02300814266698341,0.0318042220844456,fdp
tfinance,hgb_attributes,1.0,0.1,0.03905788572453759,0.009001670764259201,10,0.03261847837805054,0.04549729307102464,fdp
tfinance,hgb_attributes,1.0,0.2,0.04500717627201372,0.010249440737905121,10,0.037675168057816226,0.052339184486211214,fdp
tfinance,hgb_attributes,1.0,0.4,0.03793662862594269,0.017483842882359917,10,0.02542944087714047,0.050443816374744904,fdp
tfinance,hgb_attributes,1.0,0.6,-0.006298930692939651,0.014421562627593826,10,-0.01661549511347734,0.004017633727598037,fdp
tfinance,hgb_attributes,1.0,0.8,-0.02326380333611681,0.01280818908783733,10,-0.03242622985307935,-0.01410137681915427,fdp
tfinance,hgb_attributes,1.0,0.9,-0.02312475219287275,0.012388036228003869,10,-0.0319866194599901,-0.0142628849257554,fdp
tfinance,hgb_attributes,1.0,0.97,-0.019526096535259586,0.012317775006551323,10,-0.028337701952388925,-0.010714491118130248,fdp
tfinance,hgb_graph_features,0.25,0.0,0.0,0.0,10,0.0,0.0,fdp
tfinance,hgb_graph_features,0.25,0.05,0.08410991304192264,0.017834333073652314,10,0.07135199971430442,0.09686782636954086,fdp
tfinance,hgb_graph_features,0.25,0.1,0.09428695478536202,0.021995681896095295,10,0.07855219183945633,0.1100217177312677,fdp
tfinance,hgb_graph_features,0.25,0.2,0.0868740296574338,0.030196440861182824,10,0.06527279715165189,0.1084752621632157,fdp
tfinance,hgb_graph_features,0.25,0.4,0.05628049292093512,0.028824720569001993,10,0.03566052999922488,0.07690045584264536,fdp
tfinance,hgb_graph_features,0.25,0.6,0.030563602150348885,0.027858994020247496,10,0.01063447838456939,0.050492725916128384,fdp
tfinance,hgb_graph_features,0.25,0.8,0.030937696395043356,0.025894465506176325,10,0.01241391166878096,0.04946148112130575,fdp
tfinance,hgb_graph_features,0.25,0.9,0.030374634275050227,0.02195134418861081,10,0.01467158861438847,0.04607767993571198,fdp
tfinance,hgb_graph_features,0.25,0.97,0.015353521768230943,0.016822029636009247,10,0.003319766695668542,0.027387276840793343,fdp
tfinance,hgb_graph_features,0.5,0.0,0.0,0.0,10,0.0,0.0,fdp
tfinance,hgb_graph_features,0.5,0.05,0.08385395764800856,0.01961400009148252,10,0.06982294722885729,0.09788496806715982,fdp
tfinance,hgb_graph_features,0.5,0.1,0.09507445193283963,0.020091115746853617,10,0.08070213353467193,0.10944677033100733,fdp
tfinance,hgb_graph_features,0.5,0.2,0.09646629971730009,0.026981587624611728,10,0.07716483467598147,0.1157677647586187,fdp
tfinance,hgb_graph_features,0.5,0.4,0.07269215211095485,0.03161165823958988,10,0.05007853408007977,0.09530577014182993,fdp
tfinance,hgb_graph_features,0.5,0.6,0.02999770729145836,0.02630070426707908,10,0.011183316862111214,0.048812097720805504,fdp
tfinance,hgb_graph_features,0.5,0.8,0.025634473893892368,0.026237891358757908,10,0.006865017112296871,0.04440393067548787,fdp
tfinance,hgb_graph_features,0.5,0.9,0.026133086128055434,0.023808746262972906,10,0.00910133506633451,0.04316483718977636,fdp
tfinance,hgb_graph_features,0.5,0.97,0.02193714864708906,0.020079125485491473,10,0.0075734075651911585,0.03630088972898696,fdp
tfinance,hgb_graph_features,1.0,0.0,0.0,0.0,10,0.0,0.0,fdp
tfinance,hgb_graph_features,1.0,0.05,0.08894617172875713,0.01621433075584789,10,0.07734713824686879,0.10054520521064547,fdp
tfinance,hgb_graph_features,1.0,0.1,0.09847899690985801,0.019481951129998846,10,0.08454244862723034,0.11241554519248567,fdp
tfinance,hgb_graph_features,1.0,0.2,0.104537324635774,0.023514961717661407,10,0.08771573437740912,0.12135891489413889,fdp
tfinance,hgb_graph_features,1.0,0.4,0.09094955539540764,0.02882975115427404,10,0.07032599380978197,0.11157311698103331,fdp
tfinance,hgb_graph_features,1.0,0.6,0.04957103547707576,0.024999819127514564,10,0.031687242216190695,0.06745482873796083,fdp
tfinance,hgb_graph_features,1.0,0.8,0.02553068353426411,0.025471582258563868,10,0.007309411259600586,0.043751955808927635,fdp
tfinance,hgb_graph_features,1.0,0.9,0.025583490698501687,0.023513339151911096,10,0.008763061153751674,0.0424039202432517,fdp
tfinance,hgb_graph_features,1.0,0.97,0.02198277071348758,0.02017630082490758,10,0.007549514581448324,0.03641602684552683,fdp
tolokers,hgb_attributes,0.25,0.0,0.0,0.0,10,0.0,0.0,fdp
