dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
amazon,hgb_attributes,0.25,0.1,random,1,0.11234925890675736,0.7877158469945356,162.816,1.0,1187.0,1318.2
amazon,hgb_attributes,0.25,0.1,random,2,0.10170409504096582,0.7597814207650273,154.876,1.0,1200.8,1333.6
amazon,hgb_attributes,0.25,0.1,random,3,0.06015052170135715,0.7749247311827957,154.724,1.0,1213.2,1347.6
amazon,hgb_attributes,0.25,0.1,random,4,0.07286739582433611,0.7516086956521739,149.38400000000001,1.0,1218.0,1352.6
amazon,hgb_attributes,0.25,0.1,random,5,0.08045912390603559,0.7739569892473118,156.71200000000002,1.0,1187.2,1318.6
amazon,hgb_attributes,0.25,0.1,random,6,0.08557631018787702,0.7622127659574467,156.848,1.0,1170.0,1299.6
amazon,hgb_attributes,0.25,0.1,random,7,0.10917539683326956,0.7946737967914439,167.26,1.0,1173.8,1303.8
amazon,hgb_attributes,0.25,0.1,random,8,0.0930802020786185,0.7754810810810812,158.296,1.0,1193.0,1325.0
amazon,hgb_attributes,0.25,0.1,random,9,0.06694289895141467,0.7808602150537635,156.14000000000001,1.0,1190.2,1322.0
amazon,hgb_attributes,0.25,0.2,exposure,0,0.12249208389315827,0.7870270270270271,167.0,1.0,1078.2,1347.2
amazon,hgb_attributes,0.25,0.2,exposure,1,0.13977518089208335,0.8032786885245902,171.6,1.0,1055.0,1318.2
amazon,hgb_attributes,0.25,0.2,exposure,2,0.10916478550004353,0.7650273224043715,157.2,1.0,1067.2,1333.6
amazon,hgb_attributes,0.25,0.2,exposure,3,0.08530531155219907,0.8301075268817204,169.6,1.0,1078.4,1347.6
amazon,hgb_attributes,0.25,0.2,exposure,4,0.09666165924968576,0.7760869565217392,158.2,1.0,1082.6,1352.6
amazon,hgb_attributes,0.25,0.2,exposure,5,0.11882771352030366,0.8096774193548388,171.2,1.0,1055.2,1318.6
amazon,hgb_attributes,0.25,0.2,exposure,6,0.09374897353024852,0.7680851063829788,159.4,1.0,1040.0,1299.6
amazon,hgb_attributes,0.25,0.2,exposure,7,0.1442400645478378,0.8203208556149733,179.6,1.0,1043.4,1303.8
amazon,hgb_attributes,0.25,0.2,exposure,8,0.10794478434310724,0.7805405405405406,162.0,1.0,1060.4,1325.0
amazon,hgb_attributes,0.25,0.2,exposure,9,0.09142306972713231,0.7946236559139785,163.2,1.0,1058.0,1322.0
amazon,hgb_attributes,0.25,0.2,random,0,0.10760860847675398,0.7826594594594595,163.06,1.0,1078.2,1347.2
