dataset,model,auroc,average_precision,training_labels,auroc_seed_sd,average_precision_seed_sd,training_labels_seed_sd
amazon,hgb_attributes,0.9685692920623266,0.8952465922432916,864.0,0.002344577014183471,0.006990282654538714,0.0
amazon,hgb_graph_features,0.9707930765293185,0.8984643273632041,864.0,0.00508130613242248,0.009331486821993027,0.0
tolokers,hgb_attributes,0.7057745280735193,0.3450288422853619,1176.0,0.009024917215695781,0.01153930092683292,0.0
tolokers,hgb_graph_features,0.789824398146907,0.47237637209262273,1176.0,0.006265077960387159,0.011237666052449196,0.0
