phase,dataset,model,label_fraction,design,scenario,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,0.048486013322864355,0.010015769886199564,0.3740758816030296,0.07325818780081625,73.65599999999999,14.237071484137617,69.252,13.152017842648071,0.958,0.0649444206824403,2447.412,5.141925277126809,864.0,0.0,2283.868,7.533080821726753
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,0.10159728044172481,0.011064652449382793,0.7890802133997317,0.02235052113062895,163.01,5.562223775913135,146.224,4.61605699945551,1.0,0.0,2447.412,5.141925277126809,864.0,0.0,2283.868,7.533080821726753
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,0.07121594291557116,0.012559577373151457,0.31334221835594145,0.035527328690775205,62.90599999999999,7.4826439177606225,58.1,6.965674570508029,1.0,0.0,2447.412,5.141925277126809,864.0,0.0,2283.868,7.533080821726753
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,0.07125249603039571,0.012502128121479961,0.3114913665398052,0.035846930269478154,62.513999999999996,7.555383952299626,57.757999999999996,7.025031118950449,1.0,0.0,2447.412,5.141925277126809,864.0,0.0,2283.868,7.533080821726753
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,0.08716055734048463,0.014072296437365748,0.7780140306009511,0.020457200758961132,158.238,5.31884239703005,144.172,4.2383455891813835,1.0,0.0,2448.918,2.7077739935231677,864.0,0.0,2215.552,4.389028746013491
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,0.08584212798613737,0.01299787234119742,0.7573800510757859,0.02141656780068752,154.212,5.5805073445182725,140.334,3.839352375943974,0.994,0.013498971154211068,2447.412,5.141925277126809,864.0,0.0,2283.868,7.533080821726753
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,0.0005052664531963777,0.0011221223037506556,0.0038955433049865608,0.006909603612024267,0.76,1.3534482709812823,0.728,1.2899681305279513,0.012,0.021499353995462798,2447.412,5.141925277126809,864.0,0.0,2283.868,7.533080821726753
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,0.04303233544897792,0.009579663191301052,0.6147615126235644,0.06294998739346984,119.244,11.889352098972141,113.85,10.990408950029515,1.0,0.0,2915.29,3.4232181090638596,864.0,0.0,2637.546,5.571882187475945
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,0.08834568622555392,0.013274089236800225,0.7794120518821412,0.020368047684904304,158.68800000000002,5.131230738223418,144.432,4.260017736008982,1.0,0.0,2915.29,3.4232181090638596,864.0,0.0,2637.546,5.571882187475945
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,0.08609788130128208,0.010342746081899008,0.6663295645948757,0.05714404006195862,135.534,12.47410134817112,123.44000000000001,10.269770093715724,1.0,0.0,2915.29,3.4232181090638596,864.0,0.0,2637.546,5.571882187475945
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,0.06544499787726207,0.008523053843395384,0.4057605597540495,0.04720842762182201,80.45,9.59264185601536,75.17999999999999,8.711137188169586,1.0,0.0,2915.29,3.4232181090638596,864.0,0.0,2637.546,5.571882187475945
