dataset,model,seed,n,fdp,power,true_discoveries
amazon,gae,1,800,0.55375,0.4348355663824604,357
amazon,gae,1,1600,0.644375,0.6930572472594397,569
amazon,gae,1,1727,0.6572090330052114,0.7210718635809987,592
amazon,gae,2,25,0.64,0.010962241169305725,9
amazon,gae,2,50,0.58,0.025578562728380026,21
amazon,gae,2,100,0.54,0.05602923264311815,46
amazon,gae,2,200,0.5,0.1218026796589525,100
amazon,gae,2,400,0.4875,0.2496954933008526,205
amazon,gae,2,800,0.55,0.438489646772229,360
amazon,gae,2,1600,0.644375,0.6930572472594397,569
amazon,gae,2,1727,0.656629994209612,0.7222898903775883,593
amazon,gae,3,25,0.64,0.010962241169305725,9
amazon,gae,3,50,0.58,0.025578562728380026,21
amazon,gae,3,100,0.56,0.0535931790499391,44
amazon,gae,3,200,0.505,0.12058465286236297,99
amazon,gae,3,400,0.5,0.243605359317905,200
amazon,gae,3,800,0.555,0.4336175395858709,356
amazon,gae,3,1600,0.64625,0.6894031668696712,566
amazon,gae,3,1727,0.6624203821656051,0.7101096224116931,583
amazon,gae,4,25,0.6,0.012180267965895249,10
amazon,gae,4,50,0.54,0.028014616321559074,23
amazon,gae,4,100,0.53,0.057247259439707675,47
amazon,gae,4,200,0.505,0.12058465286236297,99
amazon,gae,4,400,0.49,0.24847746650426308,204
amazon,gae,4,800,0.5425,0.4457978075517661,366
amazon,gae,4,1600,0.64125,0.6991473812423873,574
amazon,gae,4,1727,0.6560509554140127,0.7235079171741778,594
amazon,gae,5,25,0.64,0.010962241169305725,9
amazon,gae,5,50,0.58,0.025578562728380026,21
amazon,gae,5,100,0.54,0.05602923264311815,46
amazon,gae,5,200,0.505,0.12058465286236297,99
amazon,gae,5,400,0.495,0.24604141291108406,202
amazon,gae,5,800,0.54375,0.4445797807551766,365
amazon,gae,5,1600,0.6375,0.7064555420219245,580
amazon,gae,5,1727,0.6548928778228141,0.7259439707673568,596
amazon,gae,6,25,0.64,0.010962241169305725,9
amazon,gae,6,50,0.58,0.025578562728380026,21
amazon,gae,6,100,0.54,0.05602923264311815,46
amazon,gae,6,200,0.51,0.11936662606577345,98
amazon,gae,6,400,0.495,0.24604141291108406,202
amazon,gae,6,800,0.55,0.438489646772229,360
amazon,gae,6,1600,0.643125,0.6954933008526187,571
amazon,gae,6,1727,0.6560509554140127,0.7235079171741778,594
amazon,gae,7,25,0.64,0.010962241169305725,9
amazon,gae,7,50,0.56,0.02679658952496955,22
amazon,gae,7,100,0.56,0.0535931790499391,44
amazon,gae,7,200,0.515,0.11814859926918392,97
amazon,gae,7,400,0.4975,0.24482338611449453,201
amazon,gae,7,800,0.555,0.4336175395858709,356
amazon,gae,7,1600,0.64625,0.6894031668696712,566
amazon,gae,7,1727,0.65836711059641,0.7186358099878197,590
amazon,gae,8,25,0.6,0.012180267965895249,10
amazon,gae,8,50,0.54,0.028014616321559074,23
amazon,gae,8,100,0.55,0.05481120584652863,45
amazon,gae,8,200,0.51,0.11936662606577345,98
amazon,gae,8,400,0.5025,0.24238733252131547,199
amazon,gae,8,800,0.555,0.4336175395858709,356
amazon,gae,8,1600,0.650625,0.6808769792935444,559
amazon,gae,8,1727,0.6635784597568037,0.707673568818514,581
amazon,gae,9,25,0.64,0.010962241169305725,9
amazon,gae,9,50,0.58,0.025578562728380026,21
amazon,gae,9,100,0.56,0.0535931790499391,44
amazon,gae,9,200,0.51,0.11936662606577345,98
amazon,gae,9,400,0.4975,0.24482338611449453,201
amazon,gae,9,800,0.56375,0.42509135200974424,349
amazon,gae,9,1600,0.646875,0.6881851400730816,565
amazon,gae,9,1727,0.6624203821656051,0.7101096224116931,583
amazon,isolation_forest,0,25,0.88,0.0036540803897685747,3
amazon,isolation_forest,0,50,0.86,0.008526187576126675,7
amazon,isolation_forest,0,100,0.78,0.02679658952496955,22
amazon,isolation_forest,0,200,0.69,0.07551766138855055,62
amazon,isolation_forest,0,400,0.695,0.14859926918392205,122
amazon,isolation_forest,0,800,0.6575,0.3337393422655298,274
amazon,isolation_forest,0,1600,0.68,0.6236297198538368,512
amazon,isolation_forest,0,1727,0.6786334684423856,0.6760048721071864,555
amazon,isolation_forest,1,25,0.96,0.001218026796589525,1
amazon,isolation_forest,1,50,0.84,0.0097442143727162,8
amazon,isolation_forest,1,100,0.81,0.023142509135200974,19
amazon,isolation_forest,1,200,0.72,0.0682095006090134,56
