dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,2,0.2158545332220227,0.8051282051282052,200.8,1.0,1158.8,1287.0
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,3,0.19943325500523676,0.794949494949495,197.4,1.0,1163.2,1292.0
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,4,0.17751896739329695,0.7794871794871794,185.6,1.0,1130.6,1255.8
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,5,0.1830439184364332,0.7991400000000001,197.132,1.0,1119.8,1243.8
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,6,0.14761993278822189,0.681181347150259,155.73600000000002,1.0,1147.2,1274.0
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,7,0.15126437600523623,0.7459183673469388,173.0,1.0,1139.6,1265.8
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,8,0.17003824212723323,0.8164123711340207,191.752,1.0,1156.6,1284.6
weibo_gadbench,hgb_attributes,0.25,0.1,exposure,9,0.15242047431558509,0.7581632653061225,176.6,1.0,1111.8,1234.8
weibo_gadbench,hgb_attributes,0.25,0.1,random,0,0.08927761238981327,0.6331313131313131,137.816,1.0,1139.2,1265.2
weibo_gadbench,hgb_attributes,0.25,0.1,random,1,0.07645158484757573,0.6353435897435898,134.768,1.0,1149.0,1276.0
weibo_gadbench,hgb_attributes,0.25,0.1,random,2,0.08994208963031017,0.5932717948717949,127.34,1.0,1158.8,1287.0
weibo_gadbench,hgb_attributes,0.25,0.1,random,3,0.09803277506380338,0.6668282828282828,146.816,1.0,1163.2,1292.0
weibo_gadbench,hgb_attributes,0.25,0.1,random,4,0.08826720521054443,0.6821538461538461,146.1,1.0,1130.6,1255.8
weibo_gadbench,hgb_attributes,0.25,0.1,random,5,0.09047682649117714,0.69732,153.632,1.0,1119.8,1243.8
weibo_gadbench,hgb_attributes,0.25,0.1,random,6,0.10192411469795695,0.641740932642487,138.00799999999998,1.0,1147.2,1274.0
weibo_gadbench,hgb_attributes,0.25,0.1,random,7,0.08468421483258179,0.6242448979591837,133.88,1.0,1139.6,1265.8
weibo_gadbench,hgb_attributes,0.25,0.1,random,8,0.1164613026001616,0.7484948453608247,165.044,1.0,1156.6,1284.6
weibo_gadbench,hgb_attributes,0.25,0.1,random,9,0.09238001050764011,0.6956734693877551,150.384,1.0,1111.8,1234.8
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,0,0.13853601624236492,0.7275353535353535,168.03199999999998,1.0,1012.6,1265.2
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,1,0.1491493404857434,0.7337435897435898,170.112,1.0,1021.4,1276.0
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,2,0.19727502071807462,0.789251282051282,192.544,1.0,1030.2,1287.0
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,3,0.188978260341467,0.7856565656565657,192.332,1.0,1034.0,1292.0
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,4,0.17841760426027015,0.7740923076923076,184.832,1.0,1005.0,1255.8
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,5,0.17472580829537362,0.7963799999999999,194.012,1.0,995.4,1243.8
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,6,0.14227985371491528,0.672621761658031,152.704,1.0,1019.8,1274.0
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,7,0.1474060780571193,0.7363673469387756,170.392,1.0,1013.2,1265.8
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,8,0.1674517431215016,0.8141030927835052,190.768,1.0,1028.0,1284.6
weibo_gadbench,hgb_attributes,0.25,0.2,exposure,9,0.15101471337938072,0.7560408163265306,175.544,1.0,988.4,1234.8
weibo_gadbench,hgb_attributes,0.25,0.2,random,0,0.08749807102284671,0.6306060606060606,137.00799999999998,1.0,1012.6,1265.2
weibo_gadbench,hgb_attributes,0.25,0.2,random,1,0.07584549802935776,0.6348923076923076,134.66400000000002,1.0,1021.4,1276.0
weibo_gadbench,hgb_attributes,0.25,0.2,random,2,0.08877062390212458,0.5905641025641026,126.708,1.0,1030.2,1287.0
weibo_gadbench,hgb_attributes,0.25,0.2,random,3,0.09678106527803675,0.6634545454545454,146.028,1.0,1034.0,1292.0
weibo_gadbench,hgb_attributes,0.25,0.2,random,4,0.08810656373156445,0.6818461538461538,146.068,1.0,1005.0,1255.8
weibo_gadbench,hgb_attributes,0.25,0.2,random,5,0.08931977165960232,0.69464,152.884,1.0,995.4,1243.8
weibo_gadbench,hgb_attributes,0.25,0.2,random,6,0.10038111660084215,0.6395854922279792,137.352,1.0,1019.8,1274.0
weibo_gadbench,hgb_attributes,0.25,0.2,random,7,0.08611160001623187,0.627061224489796,134.83200000000002,1.0,1013.2,1265.8
weibo_gadbench,hgb_attributes,0.25,0.2,random,8,0.11582466665730591,0.7457319587628867,164.448,1.0,1028.0,1284.6
weibo_gadbench,hgb_attributes,0.25,0.2,random,9,0.08999463207432222,0.6947959183673469,149.836,1.0,988.4,1234.8
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,0,0.1330070204647829,0.7224646464646465,165.928,1.0,759.6,1265.2
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,1,0.1338529223976424,0.7111794871794871,162.536,1.0,766.2,1276.0
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,2,0.2004073774323098,0.7879384615384616,193.93200000000002,1.0,772.6,1287.0
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,3,0.19055542050248192,0.7856363636363637,193.048,1.0,775.8,1292.0
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,4,0.16567040653360238,0.7630358974358974,179.52,1.0,753.8,1255.8
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,5,0.17541798305670456,0.7921199999999999,193.648,1.0,746.8,1243.8
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,6,0.14205533918039476,0.6729533678756476,152.94,1.0,764.8,1274.0
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,7,0.14360027874333955,0.7313061224489796,168.664,1.0,760.0,1265.8
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,8,0.16882215796848515,0.8088247422680412,189.99200000000002,1.0,771.0,1284.6
weibo_gadbench,hgb_attributes,0.25,0.4,exposure,9,0.14815566920268136,0.7550204081632652,174.796,1.0,741.2,1234.8
weibo_gadbench,hgb_attributes,0.25,0.4,random,0,0.08662290928851302,0.6222626262626262,135.284,1.0,759.6,1265.2
weibo_gadbench,hgb_attributes,0.25,0.4,random,1,0.07639250781028353,0.6342974358974359,134.736,1.0,766.2,1276.0
weibo_gadbench,hgb_attributes,0.25,0.4,random,2,0.08511929663045997,0.5729641025641026,122.768,1.0,772.6,1287.0
weibo_gadbench,hgb_attributes,0.25,0.4,random,3,0.09430559652510298,0.6545454545454545,143.8,1.0,775.8,1292.0
weibo_gadbench,hgb_attributes,0.25,0.4,random,4,0.08900323286231082,0.6760410256410256,145.096,1.0,753.8,1255.8
weibo_gadbench,hgb_attributes,0.25,0.4,random,5,0.0891872094262209,0.6925199999999999,152.704,1.0,746.8,1243.8
weibo_gadbench,hgb_attributes,0.25,0.4,random,6,0.09874046038618498,0.6375751295336787,136.80800000000002,1.0,764.8,1274.0
weibo_gadbench,hgb_attributes,0.25,0.4,random,7,0.08289013177902013,0.6157959183673469,132.244,1.0,760.0,1265.8
weibo_gadbench,hgb_attributes,0.25,0.4,random,8,0.1153083294734288,0.7408453608247422,163.504,1.0,771.0,1284.6
weibo_gadbench,hgb_attributes,0.25,0.4,random,9,0.08895746379696204,0.6922653061224489,149.368,1.0,741.2,1234.8
weibo_gadbench,hgb_attributes,0.25,0.6,exposure,0,0.12941529706353466,0.7084444444444444,162.456,1.0,506.4,1265.2
weibo_gadbench,hgb_attributes,0.25,0.6,exposure,1,0.1257279026611629,0.7008410256410256,158.868,1.0,510.8,1276.0
weibo_gadbench,hgb_attributes,0.25,0.6,exposure,2,0.19137026376002456,0.7741333333333333,189.73600000000002,1.0,515.2,1287.0
weibo_gadbench,hgb_attributes,0.25,0.6,exposure,3,0.1822812916302426,0.775919191919192,189.116,1.0,517.2,1292.0
weibo_gadbench,hgb_attributes,0.25,0.6,exposure,4,0.15879118096307177,0.7575589743589742,177.78400000000002,1.0,502.6,1255.8
