dataset,model,label_fraction,removed,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,nonempty_mean,nonempty_std,n_calib_mean,n_calib_std,pool_size_mean,pool_size_std
tfinance,hgb_attributes,0.25,0.0,exposure,0.09299338257119841,0.015400370626766935,0.6504172131434698,0.01128728416487306,291.15999999999997,9.739176328394278,1.0,0.0,6343.219999999999,22.25238064667322,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.0,random,0.09299338257119841,0.015400370626766935,0.6504172131434698,0.01128728416487306,291.15999999999997,9.739176328394278,1.0,0.0,6343.219999999999,22.25238064667322,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.05,exposure,0.11256943588378862,0.01081145106204833,0.6611275571075372,0.00920590704850368,302.716,7.683481849613038,1.0,0.0,6026.5,21.173620904848015,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.05,random,0.09238286899373761,0.015295321950991128,0.6496627035002743,0.011358028108647722,290.6408,9.873994360046112,1.0,0.0,6026.5,21.173620904848015,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.1,exposure,0.11674575289726397,0.009865925633452784,0.6632487262433068,0.008603204024362106,305.15999999999997,6.997015236672152,1.0,0.0,5709.32,20.05951145965435,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.1,random,0.09190798386239564,0.015103191568330952,0.6490793549736813,0.01134329191974082,290.258,9.86930167517213,1.0,0.0,5709.32,20.05951145965435,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.2,exposure,0.11498625360332293,0.012470790153506862,0.6621967144729326,0.00820484793293152,304.27599999999995,7.979026952649748,1.0,0.0,5075.0,17.83031127041804,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.2,random,0.0910999223696217,0.014477677369695081,0.6483933019637313,0.01145323052485781,289.7212,9.658595628304939,1.0,0.0,5075.0,17.83031127041804,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.4,exposure,0.0937333446499967,0.012470869174942075,0.648334325921893,0.010027360097378112,290.9,8.764194835300689,1.0,0.0,3806.38,13.42318061331887,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.4,random,0.09058381946593759,0.013148637215264552,0.6473135837016644,0.011372203929896801,289.1976,9.108395384967041,1.0,0.0,3806.38,13.42318061331887,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.6,exposure,0.06699957129348183,0.013532144022439772,0.6250089706655838,0.015360442832425752,272.2464,10.68177017373265,1.0,0.0,2537.7200000000003,8.908023848693315,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.6,random,0.08967781279628176,0.012017426083399868,0.6447159307046518,0.011851693967541233,287.9952,8.824809633451965,1.0,0.0,2537.7200000000003,8.908023848693315,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.8,exposure,0.06374360839009419,0.009715250052810945,0.6155121820758109,0.016809358408712696,267.7416,10.08234297285222,1.0,0.0,1269.1,4.502098276236223,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.8,random,0.08661642547185747,0.012661130369257758,0.6365936957197006,0.014650914529199545,284.1668,10.042914680952364,1.0,0.0,1269.1,4.502098276236223,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.9,exposure,0.05825352401531211,0.009288332879421685,0.5531632451506014,0.0334303447785391,241.67199999999997,16.42577638280084,0.93,0.04786090958879351,634.88,2.191295912873888,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.9,random,0.07745745215384044,0.011893923502853484,0.589116692084462,0.027066516674889914,262.7348,14.572040204903816,0.9560000000000001,0.029211869733608866,634.88,2.191295912873888,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.97,exposure,0.008969172645202084,0.006083277322743606,0.017159836213178785,0.011150784125224205,11.684000000000001,7.823864120610594,0.0224,0.014630257839301549,190.84,0.6915361322607909,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.25,0.97,random,0.01051603995325087,0.005709096908961236,0.021229570708952403,0.011524074413885955,13.9924,7.588142434087541,0.027600000000000003,0.014901155809011746,190.84,0.6915361322607909,6343.219999999999,22.25238064667322
tfinance,hgb_attributes,0.5,0.0,exposure,0.09327769117446823,0.011753260489967625,0.650620853500384,0.009884463313763806,291.24,7.458209496178602,1.0,0.0,12677.74,31.66674385955463,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.0,random,0.09327769117446823,0.011753260489967625,0.650620853500384,0.009884463313763806,291.24,7.458209496178602,1.0,0.0,12677.74,31.66674385955463,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.05,exposure,0.11462568273752852,0.013379580698693043,0.6632556956015294,0.009972559828110999,304.14,8.39314535135003,1.0,0.0,12044.26,30.056250967514625,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.05,random,0.09308092894779854,0.012215908172097775,0.6504549654414296,0.010009707158713906,291.1184,7.719055601417715,1.0,0.0,12044.26,30.056250967514625,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.1,exposure,0.12346069571718014,0.011519119071762809,0.6677347926375362,0.007197966747245032,309.296,6.758545537153533,1.0,0.0,11410.42,28.539010338676636,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.1,random,0.09295057904663813,0.012219123015542023,0.6503923457536496,0.010100666860243076,291.06280000000004,7.753452690396859,1.0,0.0,11410.42,28.539010338676636,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.2,exposure,0.12651757072324316,0.014860053933693133,0.6682239788004127,0.008668848164449388,310.6964,8.718590395751411,1.0,0.0,10142.58,25.359714334177664,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.2,random,0.0927800957686225,0.012452117853313703,0.6501177795057143,0.01009218166021633,290.90999999999997,7.866663333332626,1.0,0.0,10142.58,25.359714334177664,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.4,exposure,0.10841029261671715,0.01753358732899904,0.658162291109435,0.011607155240532787,299.91999999999996,10.671748789313868,1.0,0.0,7607.0199999999995,19.03831225012711,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.4,random,0.09283207742487003,0.012129908005436634,0.6496601304888829,0.010444611384758894,290.7772,7.905446797409132,1.0,0.0,7607.0199999999995,19.03831225012711,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.6,exposure,0.06854595190802963,0.013382673112144184,0.6285594805126836,0.01677978726939677,274.008,10.559407390779317,1.0,0.0,5071.5599999999995,12.647283414938272,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.6,random,0.09245089545822925,0.011665525151421424,0.6486887731501221,0.010934483300337423,290.33720000000005,8.025441999596598,1.0,0.0,5071.5599999999995,12.647283414938272,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.8,exposure,0.06674327315964515,0.01172877022691084,0.6236115908925145,0.018660234439382844,271.5656,10.96959372487826,1.0,0.0,2536.0,6.3266631541965115,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.8,random,0.09113757762818775,0.011445875430675038,0.645227989931705,0.012515439494434451,288.7252,8.385256913840578,1.0,0.0,2536.0,6.3266631541965115,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.9,exposure,0.06430890268717189,0.011583301784093123,0.6138922136666517,0.021334681557485784,267.2776,12.296882379963884,0.9992000000000001,0.0025298221281347083,1268.26,3.15249460304407,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.9,random,0.0867998175417247,0.010351238279983313,0.6360205238462703,0.015266861082841405,283.9128,9.08151114199737,1.0,0.0,1268.26,3.15249460304407,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.97,exposure,0.05579405025845593,0.009504331384136533,0.44770676518488334,0.07502325108865014,198.5508,32.36069577881307,0.7112,0.11506597141543537,380.84000000000003,0.9879271228182712,12677.74,31.66674385955463
tfinance,hgb_attributes,0.5,0.97,random,0.07298789432825449,0.008775486689081222,0.5111353155972244,0.06688612249434131,230.2824,29.52767808608654,0.7996000000000001,0.09994576306955466,380.84000000000003,0.9879271228182712,12677.74,31.66674385955463
tfinance,hgb_attributes,1.0,0.0,exposure,0.094606813081792,0.012568023537998605,0.6521402797346368,0.009513592450539477,292.26,7.938121804166128,1.0,0.0,25349.6,5.641118880348489,25349.6,5.641118880348489
tfinance,hgb_attributes,1.0,0.0,random,0.094606813081792,0.012568023537998605,0.6521402797346368,0.009513592450539477,292.26,7.938121804166128,1.0,0.0,25349.6,5.641118880348489,25349.6,5.641118880348489
tfinance,hgb_attributes,1.0,0.05,exposure,0.12254329835412359,0.010485489341802337,0.6673458652753753,0.007852858073544959,308.6,6.4580698870999145,1.0,0.0,24082.6,5.641118880348489,25349.6,5.641118880348489
tfinance,hgb_attributes,1.0,0.05,random,0.0951371159784091,0.01208372504095927,0.6520477120782541,0.009363514926260986,292.39639999999997,7.717414063157578,1.0,0.0,24082.6,5.641118880348489,25349.6,5.641118880348489
tfinance,hgb_attributes,1.0,0.1,exposure,0.13411821744080038,0.012143443074966342,0.6741619983139024,0.00637023872722151,315.9232,6.881418148414874,1.0,0.0,22815.1,5.1736511929836775,25349.6,5.641118880348489
tfinance,hgb_attributes,1.0,0.1,random,0.09506033171626282,0.01191819656418149,0.6519767767004309,0.009313736223349953,292.34319999999997,7.633302660782617,1.0,0.0,22815.1,5.1736511929836775,25349.6,5.641118880348489
