phase,dataset,model,label_fraction,design,scenario,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,2,0.08726824246180052,0.2595628415300546,52.22,47.5,1.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,3,0.07292821062726752,0.3618279569892473,72.9,67.3,1.0,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,4,0.06847176818510728,0.3139130434782609,62.18,57.76,1.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,5,0.05520501774030249,0.267741935483871,52.92,49.8,1.0,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,6,0.05466220649023264,0.35627659574468085,71.04,66.98,1.0,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,7,0.0786055172636208,0.3381818181818182,69.06,63.24,1.0,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,8,0.08795038819026885,0.30583783783783786,62.36,56.58,1.0,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,9,0.07002757696476375,0.32591397849462367,65.58,60.62,1.0,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,0,0.10416507669773602,0.7778378378378379,161.0,143.9,1.0,2447.52,864.0,2216.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,1,0.09374803321633576,0.7793442622950819,157.68,142.62,1.0,2447.74,864.0,2217.66
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,2,0.10544453642405952,0.7640437158469945,156.48,139.82,1.0,2450.62,864.0,2219.48
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,3,0.07748862558221595,0.8213978494623656,166.2,152.78,1.0,2447.2,864.0,2212.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,4,0.07133829739567414,0.7555434782608695,149.86,139.02,1.0,2450.86,864.0,2217.94
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,5,0.06730791832846188,0.7598924731182796,151.72,141.34,1.0,2453.34,864.0,2220.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,6,0.07612471809213102,0.7586170212765957,154.52,142.62,1.0,2450.46,864.0,2215.06
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,7,0.10025850456039766,0.7924064171122994,164.9,148.18,1.0,2443.62,864.0,2206.46
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,8,0.09430921701778094,0.7766486486486487,158.78,143.68,1.0,2450.14,864.0,2218.06
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,9,0.0814206460900533,0.7944086021505377,161.24,147.76,1.0,2447.68,864.0,2211.08
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,0,0.10518911034816952,0.7705945945945946,159.8,142.56,1.0,2445.28,864.0,2282.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,1,0.09261080326259258,0.7744262295081967,156.58,141.72,1.0,2444.68,864.0,2286.32
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,2,0.10010176851177978,0.7577049180327868,154.4,138.66,1.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,3,0.07855869426954604,0.793763440860215,161.36,147.64,1.0,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,4,0.07706587785633316,0.7427173913043478,148.54,136.66,1.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,5,0.06482201651391432,0.7280645161290323,145.38,135.42,1.0,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,6,0.07375122612643539,0.7291489361702128,148.6,137.08,0.98,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,7,0.09600218423497245,0.7712299465240642,160.4,144.22,1.0,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,8,0.09127454688417268,0.764,155.92,141.34,1.0,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_bh,9,0.07904505185345777,0.7421505376344086,151.14,138.04,0.96,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,0,0.0,0.0,0.0,0.0,0.0,2445.28,864.0,2282.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,1,0.0,0.0,0.0,0.0,0.0,2444.68,864.0,2286.32
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,2,0.0,0.0,0.0,0.0,0.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,3,0.0035741699083078633,0.01860215053763441,3.68,3.46,0.06,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,4,0.0,0.0,0.0,0.0,0.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,5,0.0,0.0,0.0,0.0,0.0,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,6,0.0008333333333333333,0.013936170212765957,2.68,2.62,0.04,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,7,0.0006451612903225806,0.006417112299465241,1.24,1.2,0.02,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,8,0.0,0.0,0.0,0.0,0.0,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,weighted_by,9,0.0,0.0,0.0,0.0,0.0,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,0,0.04212472352213428,0.6422702702702704,124.1,118.82,1.0,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,1,0.05046727048144062,0.6775956284153005,130.86,124.0,1.0,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,2,0.06217204005869564,0.6959562841530055,136.14,127.36,1.0,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,3,0.03832498113996324,0.643225806451613,125.02,119.64,1.0,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,4,0.04573643975485523,0.621195652173913,119.7,114.3,1.0,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,5,0.03551901769898085,0.62247311827957,120.22,115.78,1.0,2921.38,864.0,2645.1
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,6,0.0348280714452049,0.5346808510638298,104.4,100.52,1.0,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,7,0.03284642108498292,0.6023529411764705,116.72,112.64,1.0,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,8,0.03566670898526735,0.6228108108108108,119.84,115.22,1.0,2913.64,864.0,2635.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,equal_alpha,9,0.052637680318254165,0.48505376344086026,95.44,90.22,1.0,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,0,0.10224012563796782,0.7777297297297298,160.58,143.88,1.0,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,1,0.09461016488332305,0.778360655737705,157.64,142.44,1.0,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,2,0.10716698138983202,0.7659016393442623,157.14,140.16,1.0,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,3,0.07795825018948264,0.8227956989247311,166.52,153.04,1.0,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,4,0.07314948751179769,0.7563043478260869,150.3,139.16,1.0,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,5,0.0699515891012921,0.7641935483870967,152.96,142.14,1.0,2921.38,864.0,2645.1
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,6,0.07910956634277445,0.7602127659574468,155.3,142.92,1.0,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,7,0.10059761822989444,0.7937967914438502,165.2,148.44,1.0,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,8,0.09584527569221292,0.7775135135135135,159.2,143.84,1.0,2913.64,864.0,2635.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_reference,9,0.08282780327696214,0.7973118279569893,162.04,148.3,1.0,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,0,0.09920096151106061,0.7641081081081081,157.22,141.36,1.0,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,1,0.08739775766048365,0.6793442622950819,136.62,124.32,1.0,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,2,0.08932083614034962,0.6848087431693989,137.98,125.32,1.0,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,3,0.08555054736764557,0.7061290322580644,144.12,131.34,1.0,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,4,0.07375667371775763,0.6331521739130435,126.0,116.5,1.0,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,5,0.06796354956626185,0.5934408602150537,118.94,110.38,1.0,2921.38,864.0,2645.1
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,6,0.07824230392896867,0.5907446808510638,120.82,111.06,1.0,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,7,0.09893642177166466,0.6837433155080214,142.12,127.86,1.0,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,8,0.0945232257267141,0.7153513513513513,146.32,132.34,1.0,2913.64,864.0,2635.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,pooled_stratum,9,0.08608653562191446,0.61247311827957,125.2,113.92,1.0,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,0,0.07493628367911156,0.4207567567567568,83.86,77.84,1.0,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,1,0.06268682626397001,0.37311475409836065,72.72,68.28,1.0,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,2,0.06935587303974437,0.44349726775956283,86.76,81.16,1.0,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,3,0.06483145697647964,0.47892473118279566,95.54,89.08,1.0,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,4,0.06457946811442493,0.3778260869565217,74.28,69.52,1.0,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,5,0.04901625702346726,0.3556989247311828,69.52,66.16,1.0,2921.38,864.0,2645.1
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,6,0.0533961304938533,0.37255319148936167,74.18,70.04,1.0,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,7,0.07229804896961088,0.4289839572192513,86.34,80.22,1.0,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,8,0.07162407260515928,0.4624864864864865,92.0,85.56,1.0,2913.64,864.0,2635.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,size_alpha,9,0.07172556160679955,0.34376344086021504,69.3,63.94,1.0,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,0,0.10224012563796782,0.7777297297297298,160.58,143.88,1.0,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,1,0.09461016488332305,0.778360655737705,157.64,142.44,1.0,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,2,0.10716698138983202,0.7659016393442623,157.14,140.16,1.0,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,3,0.07795825018948264,0.8227956989247311,166.52,153.04,1.0,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,4,0.07314948751179769,0.7563043478260869,150.3,139.16,1.0,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,5,0.0699515891012921,0.7641935483870967,152.96,142.14,1.0,2921.38,864.0,2645.1
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,6,0.07910956634277445,0.7602127659574468,155.3,142.92,1.0,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,7,0.10059761822989444,0.7937967914438502,165.2,148.44,1.0,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,8,0.09584527569221292,0.7775135135135135,159.2,143.84,1.0,2913.64,864.0,2635.88
