dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
tfinance,hgb_attributes,0.25,0.1,exposure,4,0.11565437465003996,0.6527093596059113,301.0,1.0,5695.4,6327.8
tfinance,hgb_attributes,0.25,0.1,exposure,5,0.1340453013171119,0.6775308641975307,318.2,1.0,5701.8,6334.8
tfinance,hgb_attributes,0.25,0.1,exposure,6,0.11578163682401695,0.652088452088452,300.4,1.0,5681.0,6311.8
tfinance,hgb_attributes,0.25,0.1,exposure,7,0.12366651845378582,0.6709359605911331,311.2,1.0,5734.2,6370.8
tfinance,hgb_attributes,0.25,0.1,exposure,8,0.12174051217265189,0.6628712871287129,305.6,1.0,5728.4,6364.4
tfinance,hgb_attributes,0.25,0.1,exposure,9,0.11089590087323435,0.6671568627450981,306.8,1.0,5716.6,6351.4
tfinance,hgb_attributes,0.25,0.1,random,0,0.08554038963602782,0.6433663366336633,284.884,1.0,5677.4,6307.8
tfinance,hgb_attributes,0.25,0.1,random,1,0.07344242642860767,0.6498415841584159,283.572,1.0,5712.0,6346.2
tfinance,hgb_attributes,0.25,0.1,random,2,0.1074986285539005,0.6566372549019607,300.508,1.0,5715.4,6350.0
tfinance,hgb_attributes,0.25,0.1,random,3,0.08316284460908112,0.6472537313432836,283.86,1.0,5731.0,6367.2
tfinance,hgb_attributes,0.25,0.1,random,4,0.0921776588288725,0.6339507389162562,284.24,1.0,5695.4,6327.8
tfinance,hgb_attributes,0.25,0.1,random,5,0.1232134119941373,0.6734024691358025,311.94,1.0,5701.8,6334.8
tfinance,hgb_attributes,0.25,0.1,random,6,0.08040900746796756,0.6381523341523341,282.61199999999997,1.0,5681.0,6311.8
tfinance,hgb_attributes,0.25,0.1,random,7,0.1037300827319561,0.6555467980295566,297.02799999999996,1.0,5734.2,6370.8
tfinance,hgb_attributes,0.25,0.1,random,8,0.08618672945209535,0.6405148514851485,283.448,1.0,5728.4,6364.4
tfinance,hgb_attributes,0.25,0.1,random,9,0.08371865892131046,0.6521274509803922,290.488,1.0,5716.6,6351.4
tfinance,hgb_attributes,0.25,0.2,exposure,0,0.09000809134907549,0.6485148514851485,288.6,1.0,5046.6,6307.8
tfinance,hgb_attributes,0.25,0.2,exposure,1,0.11697047253566524,0.662871287128713,304.4,1.0,5077.4,6346.2
tfinance,hgb_attributes,0.25,0.2,exposure,2,0.1261500587328787,0.6661764705882354,311.4,1.0,5080.4,6350.0
tfinance,hgb_attributes,0.25,0.2,exposure,3,0.09923921266902144,0.6606965174129353,295.2,1.0,5094.2,6367.2
tfinance,hgb_attributes,0.25,0.2,exposure,4,0.11685304953726142,0.6532019704433498,301.8,1.0,5062.6,6327.8
tfinance,hgb_attributes,0.25,0.2,exposure,5,0.12502677858089448,0.6750617283950617,314.2,1.0,5068.0,6334.8
tfinance,hgb_attributes,0.25,0.2,exposure,6,0.11464777836976736,0.654054054054054,301.0,1.0,5050.0,6311.8
tfinance,hgb_attributes,0.25,0.2,exposure,7,0.12168474838847718,0.6699507389162562,310.0,1.0,5097.0,6370.8
tfinance,hgb_attributes,0.25,0.2,exposure,8,0.12980537214658444,0.666831683168317,311.0,1.0,5092.2,6364.4
tfinance,hgb_attributes,0.25,0.2,exposure,9,0.10947697372360363,0.664607843137255,305.15999999999997,1.0,5081.6,6351.4
tfinance,hgb_attributes,0.25,0.2,random,0,0.08442334016524569,0.6422376237623763,284.024,1.0,5046.6,6307.8
tfinance,hgb_attributes,0.25,0.2,random,1,0.07309752433952613,0.6490495049504951,283.18,1.0,5077.4,6346.2
tfinance,hgb_attributes,0.25,0.2,random,2,0.10721273817741424,0.656264705882353,300.276,1.0,5080.4,6350.0
tfinance,hgb_attributes,0.25,0.2,random,3,0.08377168286927764,0.6472835820895522,284.128,1.0,5094.2,6367.2
tfinance,hgb_attributes,0.25,0.2,random,4,0.09088467267805955,0.632975369458128,283.43199999999996,1.0,5062.6,6327.8
tfinance,hgb_attributes,0.25,0.2,random,5,0.12050274917681744,0.6728790123456789,310.784,1.0,5068.0,6334.8
tfinance,hgb_attributes,0.25,0.2,random,6,0.08078958465063264,0.6370417690417691,282.26,1.0,5050.0,6311.8
tfinance,hgb_attributes,0.25,0.2,random,7,0.10228207840414005,0.6545615763546798,296.17199999999997,1.0,5097.0,6370.8
tfinance,hgb_attributes,0.25,0.2,random,8,0.08604221545753397,0.6402673267326733,283.304,1.0,5092.2,6364.4
tfinance,hgb_attributes,0.25,0.2,random,9,0.08199263777756967,0.6513725490196078,289.652,1.0,5081.6,6351.4
tfinance,hgb_attributes,0.25,0.4,exposure,0,0.06651920840602792,0.6311881188118813,273.4,1.0,3785.0,6307.8
tfinance,hgb_attributes,0.25,0.4,exposure,1,0.09564341884049445,0.6539603960396041,293.4,1.0,3808.2,6346.2
tfinance,hgb_attributes,0.25,0.4,exposure,2,0.09691478444283028,0.6495098039215687,293.6,1.0,3810.4,6350.0
tfinance,hgb_attributes,0.25,0.4,exposure,3,0.08071741441227806,0.6442786069651741,282.2,1.0,3820.8,6367.2
tfinance,hgb_attributes,0.25,0.4,exposure,4,0.10017828344940768,0.6413793103448275,290.4,1.0,3797.2,6327.8
tfinance,hgb_attributes,0.25,0.4,exposure,5,0.10991374710506266,0.6666666666666667,305.0,1.0,3801.2,6334.8
tfinance,hgb_attributes,0.25,0.4,exposure,6,0.10541145467966193,0.6442260442260442,294.4,1.0,3787.4,6311.8
tfinance,hgb_attributes,0.25,0.4,exposure,7,0.09658535401201099,0.6492610837438424,292.4,1.0,3823.0,6370.8
tfinance,hgb_attributes,0.25,0.4,exposure,8,0.08911789892520341,0.6430693069306931,285.8,1.0,3819.2,6364.4
tfinance,hgb_attributes,0.25,0.4,exposure,9,0.09633188222698971,0.6598039215686274,298.4,1.0,3811.4,6351.4
tfinance,hgb_attributes,0.25,0.4,random,0,0.08413732599028542,0.6411782178217822,283.576,1.0,3785.0,6307.8
tfinance,hgb_attributes,0.25,0.4,random,1,0.07383761878713524,0.6478910891089109,283.03599999999994,1.0,3808.2,6346.2
tfinance,hgb_attributes,0.25,0.4,random,2,0.10347668284490663,0.653607843137255,297.912,1.0,3810.4,6350.0
tfinance,hgb_attributes,0.25,0.4,random,3,0.08351755519965398,0.646905472636816,284.044,1.0,3820.8,6367.2
tfinance,hgb_attributes,0.25,0.4,random,4,0.09137129289014757,0.631832512315271,283.348,1.0,3797.2,6327.8
tfinance,hgb_attributes,0.25,0.4,random,5,0.11892244302598273,0.6719703703703702,309.896,1.0,3801.2,6334.8
tfinance,hgb_attributes,0.25,0.4,random,6,0.0811638557527214,0.635007371007371,281.624,1.0,3787.4,6311.8
tfinance,hgb_attributes,0.25,0.4,random,7,0.09874342805382379,0.6520788177339901,294.02,1.0,3823.0,6370.8
tfinance,hgb_attributes,0.25,0.4,random,8,0.08669331454314391,0.6407425742574258,283.808,1.0,3819.2,6364.4
tfinance,hgb_attributes,0.25,0.4,random,9,0.08397467757157524,0.651921568627451,290.712,1.0,3811.4,6351.4
tfinance,hgb_attributes,0.25,0.6,exposure,0,0.05087164613179975,0.6095247524752475,259.97200000000004,1.0,2523.4,6307.8
tfinance,hgb_attributes,0.25,0.6,exposure,1,0.050264355890156834,0.626950495049505,267.12,1.0,2538.8,6346.2
