method,seed,n_ensemble,calib_frac,n_calib,n_discoveries,realized_fdr,power
our_conformal_bh_adversarial_calib0.4,2,1,0.4,1293,137,0.12408759124087591,0.16
our_conformal_bh_adversarial_calib0.4,3,1,0.4,1289,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,4,1,0.4,1271,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,5,1,0.4,1250,154,0.08441558441558442,0.188
our_conformal_bh_adversarial_calib0.4,6,1,0.4,1283,159,0.10062893081761007,0.19066666666666668
our_conformal_bh_adversarial_calib0.4,7,1,0.4,1292,142,0.07746478873239436,0.17466666666666666
our_conformal_bh_adversarial_calib0.4,8,1,0.4,1274,149,0.12080536912751678,0.17466666666666666
our_conformal_bh_adversarial_calib0.4,9,1,0.4,1266,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,10,1,0.4,1293,151,0.13245033112582782,0.17466666666666666
our_conformal_bh_adversarial_calib0.4,11,1,0.4,1321,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,12,1,0.4,1270,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,13,1,0.4,1252,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,14,1,0.4,1244,178,0.12921348314606743,0.20666666666666667
our_conformal_bh_adversarial_calib0.4,15,1,0.4,1294,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,16,1,0.4,1325,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,17,1,0.4,1270,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,18,1,0.4,1286,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,19,1,0.4,1290,120,0.15,0.136
our_conformal_bh_adversarial_calib0.9,0,1,0.9,2794,164,0.12804878048780488,0.19066666666666668
our_conformal_bh_adversarial_calib0.9,1,1,0.9,2839,0,0.0,0.0
our_conformal_bh_adversarial_calib0.9,2,1,0.9,2910,135,0.1111111111111111,0.16
our_conformal_bh_adversarial_calib0.9,3,1,0.9,2900,86,0.03488372093023256,0.11066666666666666
our_conformal_bh_adversarial_calib0.9,4,1,0.9,2860,162,0.15432098765432098,0.18266666666666667
our_conformal_bh_adversarial_calib0.9,5,1,0.9,2813,163,0.09815950920245399,0.196
our_conformal_bh_adversarial_calib0.9,6,1,0.9,2886,168,0.1130952380952381,0.19866666666666666
our_conformal_bh_adversarial_calib0.9,7,1,0.9,2908,143,0.06993006993006994,0.17733333333333334
our_conformal_bh_adversarial_calib0.9,8,1,0.9,2867,226,0.13716814159292035,0.26
our_conformal_bh_adversarial_calib0.9,9,1,0.9,2848,89,0.056179775280898875,0.112
our_conformal_bh_adversarial_calib0.9,10,1,0.9,2910,128,0.109375,0.152
our_conformal_bh_adversarial_calib0.9,11,1,0.9,2972,134,0.1417910447761194,0.15333333333333332
our_conformal_bh_adversarial_calib0.9,12,1,0.9,2858,130,0.07692307692307693,0.16
our_conformal_bh_adversarial_calib0.9,13,1,0.9,2817,0,0.0,0.0
our_conformal_bh_adversarial_calib0.9,14,1,0.9,2800,177,0.12429378531073447,0.20666666666666667
our_conformal_bh_adversarial_calib0.9,15,1,0.9,2911,93,0.06451612903225806,0.116
our_conformal_bh_adversarial_calib0.9,16,1,0.9,2981,126,0.07936507936507936,0.15466666666666667
our_conformal_bh_adversarial_calib0.9,17,1,0.9,2858,0,0.0,0.0
our_conformal_bh_adversarial_calib0.9,18,1,0.9,2894,191,0.14659685863874344,0.21733333333333332
our_conformal_bh_adversarial_calib0.9,19,1,0.9,2903,134,0.14925373134328357,0.152
ensemble_conformal_bh_adversarial,0,5,0.4,1242,119,0.11764705882352941,0.14
ensemble_conformal_bh_adversarial,1,5,0.4,1262,0,0.0,0.0
ensemble_conformal_bh_adversarial,2,5,0.4,1293,137,0.12408759124087591,0.16
ensemble_conformal_bh_adversarial,3,5,0.4,1289,0,0.0,0.0
ensemble_conformal_bh_adversarial,4,5,0.4,1271,0,0.0,0.0
ensemble_conformal_bh_adversarial,5,5,0.4,1250,154,0.08441558441558442,0.188
