n_calib,m_test,calib_mean_exposure,calib_mean,calib_std,calib_max,p_floor,bh_min_rank,clearance_anomalies,clearance_normals,n_discoveries,realized_fdr,power,calib_q50,calib_q75,calib_q90,calib_q95,calib_q99,dataset,seed,condition
926,11677,0.0,5760.41357421875,6.076925277709961,5782.33740234375,0.0010787486515641855,126,0.039838250711397336,0.0,279,0.010752688172043012,0.04133592930957017,5758.875,5762.29736328125,5768.61474609375,5774.234375,5780.95703125,yelp,0,clean
4000,11677,0.13435810047268035,5759.51708984375,5.1833319664001465,5782.138671875,0.00024993751562109475,30,0.040736857870301034,0.0,318,0.03773584905660377,0.04582896510408866,5758.5966796875,5761.580078125,5765.38427734375,5769.42626953125,5778.9150390625,yelp,0,contaminated
4000,11677,0.2735582764379674,5759.49267578125,5.245038986206055,5782.30615234375,0.00024993751562109475,30,0.0401377864310319,0.0002,309,0.05501618122977346,0.0437322150666467,5758.55078125,5761.59716796875,5765.541015625,5769.4248046875,5779.54052734375,yelp,0,adversarial
928,11677,0.0,5760.34521484375,5.981277942657471,5782.6728515625,0.001076426264800861,126,0.03819080425340722,0.0006,282,0.03546099290780142,0.040736857870301034,5758.84619140625,5762.103515625,5768.4951171875,5774.04345703125,5780.705078125,yelp,1,clean
4000,11677,0.13204645967029047,5759.61767578125,5.241478443145752,5782.7734375,0.00024993751562109475,30,0.03714242923468623,0.0,311,0.06430868167202572,0.04358244720682941,5758.6962890625,5761.73193359375,5765.78076171875,5769.84912109375,5779.1416015625,yelp,1,contaminated
4000,11677,0.2736499329958855,5759.5087890625,5.267923355102539,5782.68701171875,0.00024993751562109475,30,0.03819080425340722,0.0002,304,0.04276315789473684,0.04358244720682941,5758.5634765625,5761.619140625,5765.61181640625,5769.51953125,5779.751953125,yelp,1,adversarial
925,11677,0.0,5760.470703125,6.183900833129883,5782.779296875,0.0010799136069114472,127,0.03714242923468623,0.0002,262,0.026717557251908396,0.03819080425340722,5758.89599609375,5762.26904296875,5768.7001953125,5774.69970703125,5781.60888671875,yelp,2,clean
4000,11677,0.13157146256136693,5759.42822265625,5.056545257568359,5782.744140625,0.00024993751562109475,30,0.037591732814138086,0.0002,284,0.03873239436619718,0.040886625730118316,5758.62939453125,5761.67919921875,5765.13818359375,5769.22021484375,5778.13037109375,yelp,2,contaminated
4000,11677,0.2736499329958855,5759.51220703125,5.273355960845947,5782.6767578125,0.00024993751562109475,30,0.03819080425340722,0.0006,304,0.05592105263157895,0.04298337576756028,5758.5625,5761.62353515625,5765.6142578125,5769.51708984375,5779.74462890625,yelp,2,adversarial
