dataset,detector,seed,strategy,alpha,n_calib,m_test,n_null,in_matched_frame,bh_min_rank,calib_frac_anomalous,calib_mean_exposure,calib_mean_degree,test_mean_degree,score_gap_cohens_d,ks_calib_vs_test,spearman_score_degree,spearman_score_exposure,spearman_score_exposure_p,gamma_t_lo,t_lo,gamma_hat,mean_p,ks_uniform,mean_p_null_p,n_discoveries,realized_fdr,power
amazon,dominant_pygod,0,clean,0.1,228,2821,2000,True,123.18777292576418,0.0,0.0,102.62280701754386,721.3245,-1.2529760220117863,0.5902368421052632,0.9179787548623899,-0.27693333603729764,5.566542205964707e-195,13.28142889855736,0.04367,3.2100175438596494,0.14201310043668122,0.5606244541484715,0.0,1522,0.7805519053876478,0.40682095006090135
amazon,dominant_pygod,0,random,0.1,228,2821,2000,True,123.18777292576418,0.0,0.03420422372340038,785.4078947368421,721.3245,-0.022819822274462734,0.050070175438596494,0.9179787548623899,-0.27693333603729764,5.566542205964707e-195,0.5266773528738264,0.04367,1.1727016129032257,0.4951353711790393,0.04689082969432318,0.305,0,0.0,0.0
amazon,dominant_pygod,0,exposed_only,0.1,228,2821,2000,True,123.18777292576418,0.0,0.028729523781319582,781.4912280701755,721.3245,0.14515639346490877,0.10120175438596492,0.9179787548623899,-0.27693333603729764,5.566542205964707e-195,1.225097320815205,0.04367,0.9077028985507247,0.5472292576419213,-0.02614192139737989,0.99,0,0.0,0.0
amazon,dominant_pygod,0,true_contam_05,0.1,228,2821,2000,True,123.18777292576418,0.04824561403508772,0.03009628005902053,797.7368421052631,721.3245,0.09261135014581016,0.05050877192982456,0.9179787548623899,-0.27693333603729764,5.566542205964707e-195,0.2976871994504236,0.04367,0.9659636363636364,0.5270851528384279,-0.016349344978165925,0.84,0,0.0,0.0
amazon,dominant_pygod,0,true_contam_10,0.1,228,2821,2000,True,123.18777292576418,0.10087719298245613,0.032672497764723404,671.3245614035088,721.3245,-0.005321547959491789,0.04163157894736842,0.9179787548623899,-0.27693333603729764,5.566542205964707e-195,0.9503091367071216,0.04367,1.0871941747572815,0.5005589519650655,0.03921834061135371,0.42,0,0.0,0.0
amazon,dominant_pygod,0,random_full,0.1,4000,2821,2000,False,7.050737315671082,0.0,0.03212783114141749,736.08525,721.3245,0.011631337072289492,0.0165,0.9179787548623899,-0.27693333603729764,5.566542205964707e-195,1.4,0.0025,1.0081547112462006,0.503736815796051,0.003352786803299146,0.695,0,0.0,0.0
amazon,dominant_pygod,1,clean,0.1,218,2821,2000,True,128.81278538812785,0.0,0.0,103.63761467889908,753.911,-1.2734727697290085,0.6199954128440367,0.9175794367723207,-0.27568309663210167,3.580251926517813e-193,13.403416557161629,0.04566,3.2687777777777782,0.13898858447488585,0.5594246575342466,0.0,1601,0.7838850718301061,0.42143727161997563
amazon,dominant_pygod,1,random,0.1,218,2821,2000,True,128.81278538812785,0.0,0.03055242647694404,786.8302752293578,753.911,-0.00895438236567226,0.03932110091743119,0.9175794367723207,-0.27568309663210167,3.580251926517813e-193,1.0731493648707842,0.04566,1.0564945054945056,0.49781278538812784,0.023474885844748883,0.41,0,0.0,0.0
amazon,dominant_pygod,1,exposed_only,0.1,218,2821,2000,True,128.81278538812785,0.0,0.03386380788583162,722.7798165137615,753.911,-0.06636107830930761,0.0626651376146789,0.9175794367723207,-0.27568309663210167,3.580251926517813e-193,0.9745948313622427,0.04566,1.1575714285714285,0.48032420091324196,0.057047945205479456,0.09,0,0.0,0.0
amazon,dominant_pygod,1,true_contam_05,0.1,218,2821,2000,True,128.81278538812785,0.05045871559633028,0.03064617918950212,812.9082568807339,753.911,0.06396082946132514,0.05959174311926606,0.9175794367723207,-0.27568309663210167,3.580251926517813e-193,0.2847130968024529,0.04566,1.0629512195121953,0.5164132420091324,0.023570776255707804,0.755,0,0.0,0.0
amazon,dominant_pygod,1,true_contam_10,0.1,218,2821,2000,True,128.81278538812785,0.10091743119266056,0.029403554048136195,831.7889908256881,753.911,0.11003009854496656,0.057009174311926605,0.9175794367723207,-0.27568309663210167,3.580251926517813e-193,0.6022777047744197,0.04566,0.9843826530612245,0.5303949771689497,-0.006988584474885817,0.905,0,0.0,0.0
amazon,dominant_pygod,1,random_full,0.1,4000,2821,2000,False,7.050737315671082,0.0,0.030709750271368238,751.29225,753.911,-0.02241327614911843,0.026,0.9175794367723207,-0.27568309663210167,3.580251926517813e-193,1.0,0.0025,1.0625765275257109,0.4916810797300674,0.025853286678330423,0.18,0,0.0,0.0
amazon,dominant_pygod,2,clean,0.1,224,2821,2000,True,125.37777777777778,0.0,0.0,106.60714285714286,743.524,-1.249530867194655,0.5909642857142857,0.9186435230987573,-0.2756945504318086,3.446594192520021e-193,12.87128712871287,0.04444,3.2604910714285715,0.1446311111111111,0.5626111111111112,0.0,1464,0.7978142076502732,0.36053593179049936
amazon,dominant_pygod,2,random,0.1,224,2821,2000,True,125.37777777777778,0.0,0.028714547065117522,758.1383928571429,743.524,0.02324919743558207,0.035,0.9186435230987573,-0.2756945504318086,3.446594192520021e-193,0.6525652565256526,0.04444,0.9880896226415096,0.50828,-0.005611111111111067,0.625,0,0.0,0.0
amazon,dominant_pygod,2,exposed_only,0.1,224,2821,2000,True,125.37777777777778,0.0,0.032355306820051,696.5446428571429,743.524,-0.06088722675316837,0.06607142857142857,0.9186435230987573,-0.2756945504318086,3.446594192520021e-193,0.8888388838883888,0.04444,1.0652027027027027,0.4832844444444445,0.03216666666666662,0.19,0,0.0,0.0
amazon,dominant_pygod,2,true_contam_05,0.1,224,2821,2000,True,125.37777777777778,0.049107142857142856,0.028568025405691012,704.4151785714286,743.524,-0.058944184205662095,0.075,0.9186435230987573,-0.2756945504318086,3.446594192520021e-193,0.8775877587758776,0.04444,1.0772405660377358,0.4824466666666667,0.03638888888888886,0.18,0,0.0,0.0
amazon,dominant_pygod,2,true_contam_10,0.1,224,2821,2000,True,125.37777777777778,0.09821428571428571,0.02902796172286775,719.1160714285714,743.524,0.03943146649246587,0.05189285714285714,0.9186435230987573,-0.2756945504318086,3.446594192520021e-193,0.48379837983798374,0.04444,1.064732142857143,0.5125666666666666,0.01611111111111113,0.67,0,0.0,0.0
amazon,dominant_pygod,2,random_full,0.1,4000,2821,2000,False,7.050737315671082,0.0,0.032496310213703285,739.82525,743.524,-0.0015219529982505521,0.01475,0.9186435230987573,-0.2756945504318086,3.446594192520021e-193,0.6,0.0025,1.0254500968992248,0.4995616095976006,0.006565358660334919,0.45,0,0.0,0.0
amazon,dominant_pygod,3,clean,0.1,221,2821,2000,True,127.07207207207206,0.0,0.0,107.30316742081448,741.9155,-1.257124966462464,0.6107782805429864,0.9179974080673098,-0.27122827152109685,8.320906144713385e-187,13.473917869034405,0.04505,3.243218181818182,0.14249324324324322,0.5557522522522522,0.0,1621,0.7754472547809994,0.44336175395858707
amazon,dominant_pygod,3,random,0.1,221,2821,2000,True,127.07207207207206,0.0,0.03396342162735482,745.131221719457,741.9155,-0.05593398806068949,0.05446380090497738,0.9179974080673098,-0.27122827152109685,8.320906144713385e-187,0.5438401775804662,0.04505,1.0737789473684212,0.484036036036036,0.03157207207207208,0.17,0,0.0,0.0
amazon,dominant_pygod,3,exposed_only,0.1,221,2821,2000,True,127.07207207207206,0.0,0.034890908291288714,683.3619909502263,741.9155,0.008747421250706862,0.05073529411764706,0.9179974080673098,-0.27122827152109685,8.320906144713385e-187,1.2097669256381798,0.04505,1.0496315789473685,0.5083873873873874,0.012743243243243274,0.59,0,0.0,0.0
amazon,dominant_pygod,3,true_contam_05,0.1,221,2821,2000,True,127.07207207207206,0.049773755656108594,0.03263579499774787,635.0588235294117,741.9155,-0.1057319625348035,0.0761131221719457,0.9179974080673098,-0.27122827152109685,8.320906144713385e-187,0.9988901220865705,0.04505,1.1878947368421053,0.4723063063063063,0.07059909909909906,0.07,0,0.0,0.0
amazon,dominant_pygod,3,true_contam_10,0.1,221,2821,2000,True,127.07207207207206,0.09954751131221719,0.029312676864465367,747.2036199095022,741.9155,-0.022240753127714476,0.05968778280542986,0.9179974080673098,-0.27122827152109685,8.320906144713385e-187,0.6215316315205328,0.04505,1.085,0.4921081081081081,0.04249999999999998,0.31,0,0.0,0.0
amazon,dominant_pygod,3,random_full,0.1,4000,2821,2000,False,7.050737315671082,0.0,0.031025502210327596,745.00475,741.9155,0.0006122173150733815,0.0175,0.9179974080673098,-0.27122827152109685,8.320906144713385e-187,0.4,0.0025,1.0215578210590384,0.4997681829542614,0.008853786553361664,0.42,0,0.0,0.0
amazon,dominant_pygod,4,clean,0.1,229,2821,2000,True,122.65217391304348,0.0,0.0,107.75982532751091,725.3805,-1.2249854978158439,0.5792292576419213,0.9192318525546465,-0.27849613800570544,2.963282310669305e-197,13.086476540938362,0.04348,3.1857017543859647,0.15112391304347828,0.5416739130434782,0.0,1425,0.7992982456140351,0.34835566382460414
amazon,dominant_pygod,4,random,0.1,229,2821,2000,True,122.65217391304348,0.0,0.03244249240105689,731.5109170305677,725.3805,0.03849364607210338,0.05598689956331878,0.9192318525546465,-0.27849613800570544,2.963282310669305e-197,1.2879484820607177,0.04348,1.0522500000000001,0.5180978260869565,0.013739130434782587,0.795,0,0.0,0.0
amazon,dominant_pygod,4,exposed_only,0.1,229,2821,2000,True,122.65217391304348,0.0,0.03585337051876824,756.1834061135371,725.3805,0.04017352250026991,0.05202183406113537,0.9192318525546465,-0.27849613800570544,2.963282310669305e-197,0.735970561177553,0.04348,1.0663636363636362,0.5142608695652174,0.0222173913043478,0.75,0,0.0,0.0
amazon,dominant_pygod,4,true_contam_05,0.1,229,2821,2000,True,122.65217391304348,0.048034934497816595,0.03408675028484828,685.7336244541485,725.3805,-0.042428462199455716,0.05378602620087336,0.9192318525546465,-0.27849613800570544,2.963282310669305e-197,1.126954921803128,0.04348,1.1215463917525772,0.4896869565217391,0.05126086956521736,0.26,0,0.0,0.0
amazon,dominant_pygod,4,true_contam_10,0.1,229,2821,2000,True,122.65217391304348,0.10043668122270742,0.0342096429345184,691.6157205240174,725.3805,-0.009134165099708115,0.04846069868995633,0.9192318525546465,-0.27849613800570544,2.963282310669305e-197,1.0694572217111316,0.04348,1.0842857142857143,0.5028891304347826,0.031239130434782603,0.535,0,0.0,0.0
