dataset,detector,seed,strategy,alpha,n_calib,m_test,n_null,in_matched_frame,bh_min_rank,calib_frac_anomalous,calib_mean_exposure,calib_mean_degree,test_mean_degree,score_gap_cohens_d,ks_calib_vs_test,spearman_score_degree,spearman_score_exposure,spearman_score_exposure_p,gamma_t_lo,t_lo,gamma_hat,mean_p,ks_uniform,mean_p_null_p,n_discoveries,realized_fdr,power
tolokers,gae,0,clean,0.1,645,4566,2000,True,70.68111455108358,0.0,0.0,5.710077519379845,71.5925,-0.005568120710568847,0.13196899224806202,-0.16073902732109968,-0.08413207871308637,6.509374873312393e-16,0.2906976744186046,0.01548,1.118537037037037,0.528561145510836,0.029726006191950483,0.985,0,0.0,0.0
tolokers,gae,0,random,0.1,645,4566,2000,True,70.68111455108358,0.0,0.31806290151618727,81.04961240310078,71.5925,-0.024383638602885914,0.024356589147286823,-0.16073902732109968,-0.08413207871308637,6.509374873312393e-16,1.1627906976744184,0.01548,1.0873664596273294,0.4968730650154799,0.021773993808049563,0.325,0,0.0,0.0
tolokers,gae,0,exposed_only,0.1,645,4566,2000,True,70.68111455108358,0.0,0.35827849292187014,85.24651162790698,71.5925,0.0066445602046786255,0.04,-0.16073902732109968,-0.08413207871308637,6.509374873312393e-16,0.5490956072351422,0.01548,1.0974517374517374,0.49826315789473685,0.03907120743034054,0.37,0,0.0,0.0
tolokers,gae,0,true_contam_05,0.1,645,4566,2000,True,70.68111455108358,0.04961240310077519,0.3296697087321902,82.35038759689922,71.5925,-0.06527523741104034,0.0549108527131783,-0.16073902732109968,-0.08413207871308637,6.509374873312393e-16,1.1627906976744184,0.01548,1.14955900621118,0.47918730650154795,0.03902786377708978,0.025,0,0.0,0.0
tolokers,gae,0,true_contam_10,0.1,645,4566,2000,True,70.68111455108358,0.09922480620155039,0.31181144906934416,71.88837209302325,71.5925,-0.1090390040023305,0.06834883720930232,-0.16073902732109968,-0.08413207871308637,6.509374873312393e-16,1.5503875968992247,0.01548,1.19,0.46605727554179566,0.06705882352941173,0.0,0,0.0,0.0
tolokers,gae,0,random_full,0.1,4000,4566,2000,False,11.412146963259184,0.0,0.32703012882247984,75.2075,71.5925,-0.05826414935752043,0.03425,-0.16073902732109968,-0.08413207871308637,6.509374873312393e-16,1.0,0.0025,1.1271253687315632,0.4837719320169957,0.03409522619345162,0.035,0,0.0,0.0
tolokers,gae,1,clean,0.1,640,4566,2000,True,71.23244929797191,0.0,0.0,5.68125,77.1005,0.07561620782383058,0.14375,-0.19626855048795958,-0.05449139365952381,1.7178825158175296e-07,0.19230769230769232,0.0156,0.9895437499999999,0.5569297971918877,-0.0026099843993759864,1.0,0,0.0,0.0
tolokers,gae,1,random,0.1,640,4566,2000,True,71.23244929797191,0.0,0.31703276101813715,75.3015625,77.1005,0.023720684511949464,0.03925,-0.19626855048795958,-0.05449139365952381,1.7178825158175296e-07,0.608974358974359,0.0156,0.9856128526645768,0.5122152886115444,-0.007159906396255855,0.82,0,0.0,0.0
tolokers,gae,1,exposed_only,0.1,640,4566,2000,True,71.23244929797191,0.0,0.3438395559788516,86.8203125,77.1005,-0.022871568743284474,0.0385625,-0.19626855048795958,-0.05449139365952381,1.7178825158175296e-07,0.7692307692307693,0.0156,1.0729782608695655,0.4865639625585023,0.027924336973478903,0.14,0,0.0,0.0
tolokers,gae,1,true_contam_05,0.1,640,4566,2000,True,71.23244929797191,0.05,0.331201524781279,81.99375,77.1005,-0.047669205190136114,0.0266875,-0.19626855048795958,-0.05449139365952381,1.7178825158175296e-07,1.217948717948718,0.0156,1.051640625,0.49812636505460217,0.017523400936037437,0.455,0,0.0,0.0
