condition,seed,r,n1_r,n0_r,n_r,c_r,bh_threshold_at_r,dagger_satisfied
adversarial,14,53,750,197,947,1.0,2308.461263834345,False
adversarial,14,74,750,287,1037,1.0,3223.1345947875757,False
adversarial,14,103,750,400,1150,1.0,4486.254908961085,False
adversarial,14,143,750,562,1312,1.0,6228.489825062477,False
adversarial,14,199,750,787,1537,1.0,8667.618707604428,False
adversarial,14,277,750,1079,1829,1.0,12064.976794002143,False
adversarial,14,385,750,1521,2271,1.0,16769.0110674759,False
adversarial,14,536,750,2082,2832,1.0,23345.94787575866,False
adversarial,14,746,750,2873,3623,1.0,32492.68118529097,False
adversarial,14,1038,750,4050,4800,1.0,45210.996072831134,False
adversarial,14,1446,750,5715,6465,1.0,62981.79221706533,False
adversarial,14,2012,750,8112,8862,1.0,87634.41627990003,False
adversarial,14,2801,750,11450,12200,1.0,122000.0,False
adversarial,15,1,748,7,755,0.9973333333333333,41.51442307692308,True
adversarial,15,2,748,10,758,0.9973333333333333,83.02884615384616,True
adversarial,15,3,750,15,765,1.0,124.54326923076924,True
adversarial,15,4,750,22,772,1.0,166.05769230769232,True
adversarial,15,5,750,23,773,1.0,207.5721153846154,True
adversarial,15,7,750,32,782,1.0,290.60096153846155,True
adversarial,15,10,750,40,790,1.0,415.1442307692308,True
adversarial,15,14,750,54,804,1.0,581.2019230769231,True
adversarial,15,20,750,79,829,1.0,830.2884615384615,False
adversarial,15,28,750,133,883,1.0,1162.4038461538462,False
adversarial,15,39,750,179,929,1.0,1619.0625,False
adversarial,15,54,750,228,978,1.0,2241.778846153846,False
adversarial,15,75,750,268,1018,1.0,3113.5817307692305,False
adversarial,15,105,750,403,1153,1.0,4359.014423076923,False
adversarial,15,146,750,519,1269,1.0,6061.1057692307695,False
adversarial,15,204,750,710,1460,1.0,8468.942307692309,False
adversarial,15,284,750,979,1729,1.0,11790.096153846154,False
adversarial,15,396,750,1459,2209,1.0,16439.711538461535,False
adversarial,15,553,750,2027,2777,1.0,22957.47596153846,False
adversarial,15,771,750,2844,3594,1.0,32007.62019230769,False
adversarial,15,1074,750,4107,4857,1.0,44586.49038461539,False
adversarial,15,1498,750,5700,6450,1.0,62188.605769230766,False
adversarial,15,2089,750,8154,8904,1.0,86723.62980769231,False
adversarial,15,2912,750,11339,12089,1.0,120890.0,False
adversarial,16,1,749,2,751,0.9986666666666667,40.305164319248824,True
adversarial,16,2,750,14,764,1.0,80.61032863849765,True
adversarial,16,3,750,16,766,1.0,120.9154929577465,True
adversarial,16,4,750,34,784,1.0,161.2206572769953,True
adversarial,16,5,750,35,785,1.0,201.52582159624413,True
adversarial,16,7,750,42,792,1.0,282.13615023474176,True
adversarial,16,10,750,59,809,1.0,403.05164319248826,True
adversarial,16,14,750,71,821,1.0,564.2723004694835,True
adversarial,16,20,750,80,830,1.0,806.1032863849765,True
adversarial,16,28,750,102,852,1.0,1128.544600938967,False
adversarial,16,39,750,132,882,1.0,1571.9014084507044,False
adversarial,16,55,750,176,926,1.0,2216.7840375586857,False
adversarial,16,76,750,264,1014,1.0,3063.192488262911,False
adversarial,16,106,750,322,1072,1.0,4272.347417840376,False
adversarial,16,148,750,462,1212,1.0,5965.164319248825,False
adversarial,16,207,750,681,1431,1.0,8343.169014084506,False
adversarial,16,289,750,953,1703,1.0,11648.19248826291,False
adversarial,16,404,750,1387,2137,1.0,16283.286384976527,False
adversarial,16,563,750,1945,2695,1.0,22691.80751173709,False
adversarial,16,786,750,2734,3484,1.0,31679.859154929578,False
adversarial,16,1097,750,3807,4557,1.0,44214.765258215964,False
adversarial,16,1531,750,5680,6430,1.0,61707.20657276996,False
adversarial,16,2137,750,7968,8718,1.0,86132.13615023474,False
adversarial,16,2982,750,11269,12019,1.0,120190.0,False
adversarial,17,1,743,0,743,0.9906666666666667,42.46939489331935,True
adversarial,17,2,749,5,754,0.9986666666666667,84.9387897866387,True
adversarial,17,3,750,9,759,1.0,127.40818467995803,True
adversarial,17,4,750,14,764,1.0,169.8775795732774,True
adversarial,17,5,750,17,767,1.0,212.34697446659672,True
adversarial,17,7,750,30,780,1.0,297.2857642532354,True
adversarial,17,10,750,33,783,1.0,424.69394893319344,True
adversarial,17,14,750,38,788,1.0,594.5715285064708,True
adversarial,17,20,750,53,803,1.0,849.3878978663869,False
adversarial,17,28,750,92,842,1.0,1189.1430570129417,False
adversarial,17,38,750,135,885,1.0,1613.837005946135,False
adversarial,17,53,750,183,933,1.0,2250.877929345925,False
adversarial,17,74,750,269,1019,1.0,3142.7352221056312,False
adversarial,17,104,750,370,1120,1.0,4416.817068905211,False
adversarial,17,145,750,499,1249,1.0,6158.062259531304,False
adversarial,17,201,750,680,1430,1.0,8536.348373557186,False
adversarial,17,281,750,974,1724,1.0,11933.899965022736,False
adversarial,17,391,750,1402,2152,1.0,16605.533403287864,False
adversarial,17,545,750,1957,2707,1.0,23145.82021685904,False
adversarial,17,759,750,2929,3679,1.0,32234.270724029382,False
adversarial,17,1057,750,3912,4662,1.0,44890.15040223855,False
adversarial,17,1473,750,5789,6539,1.0,62557.418677859394,False
adversarial,17,2052,750,8208,8958,1.0,87147.19832109129,False
adversarial,17,2859,750,11392,12142,1.0,121420.0,False
adversarial,18,1,749,3,752,0.9986666666666667,41.816925734024174,True
adversarial,18,2,750,4,754,1.0,83.63385146804835,True
adversarial,18,3,750,12,762,1.0,125.45077720207253,True
adversarial,18,4,750,12,762,1.0,167.2677029360967,True
adversarial,18,5,750,15,765,1.0,209.08462867012088,True
adversarial,18,7,750,17,767,1.0,292.71848013816924,True
adversarial,18,10,750,28,778,1.0,418.16925734024176,True
adversarial,18,14,750,42,792,1.0,585.4369602763385,True
adversarial,18,20,750,67,817,1.0,836.3385146804835,False
adversarial,18,28,750,89,839,1.0,1170.873920552677,False
adversarial,18,39,750,124,874,1.0,1630.860103626943,False
adversarial,18,54,750,179,929,1.0,2258.1139896373056,False
adversarial,18,75,750,253,1003,1.0,3136.2694300518133,False
adversarial,18,105,750,404,1154,1.0,4390.777202072539,False
adversarial,18,146,750,564,1314,1.0,6105.271157167531,False
adversarial,18,203,750,734,1484,1.0,8488.83592400691,False
adversarial,18,283,750,1077,1827,1.0,11834.189982728843,False
adversarial,18,395,750,1451,2201,1.0,16517.685664939552,False
adversarial,18,550,750,2027,2777,1.0,22999.309153713297,False
adversarial,18,767,750,2811,3561,1.0,32073.582037996548,False
adversarial,18,1069,750,4101,4851,1.0,44702.29360967185,False
adversarial,18,1490,750,5757,6507,1.0,62307.21934369603,False
adversarial,18,2077,750,8042,8792,1.0,86853.75474956822,False
adversarial,18,2895,750,11356,12106,1.0,121060.0,False
adversarial,19,1,750,15,765,1.0,41.65633608815427,True
adversarial,19,2,750,19,769,1.0,83.31267217630854,True
adversarial,19,3,750,20,770,1.0,124.96900826446281,True
adversarial,19,4,750,23,773,1.0,166.62534435261708,True
adversarial,19,5,750,30,780,1.0,208.28168044077137,True
adversarial,19,7,750,38,788,1.0,291.5943526170799,True
adversarial,19,10,750,46,796,1.0,416.56336088154274,True
adversarial,19,14,750,66,816,1.0,583.1887052341598,True
adversarial,19,20,750,106,856,1.0,833.1267217630855,True
adversarial,19,28,750,149,899,1.0,1166.3774104683196,False
adversarial,19,39,750,180,930,1.0,1624.5971074380166,False
adversarial,19,54,750,288,1038,1.0,2249.442148760331,False
adversarial,19,75,750,341,1091,1.0,3124.2252066115702,False
adversarial,19,105,750,446,1196,1.0,4373.915289256198,False
adversarial,19,146,750,589,1339,1.0,6081.825068870524,False
adversarial,19,204,750,765,1515,1.0,8497.892561983472,False
adversarial,19,284,750,1079,1829,1.0,11830.399449035813,False
adversarial,19,396,750,1501,2251,1.0,16495.90909090909,False
adversarial,19,551,750,2056,2806,1.0,22952.641184573,False
adversarial,19,769,750,2916,3666,1.0,32033.722451790632,False
adversarial,19,1072,750,4002,4752,1.0,44655.59228650138,False
adversarial,19,1494,750,5652,6402,1.0,62234.56611570248,False
adversarial,19,2083,750,8110,8860,1.0,86770.14807162534,False
adversarial,19,2904,750,11347,12097,1.0,120970.0,False
