dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.7507792002412442,0.0006172878360404415,0.42390965732087227,0.003544350127823993,1097.515,11.9296176704796,0.26973977918892916
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009656872301318153
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.02334093951208681,0.008111353663147877,0.004805295950155763,0.0017013912503201036,7.505,2.696405549884371,nan
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.7540106951871658,0.0,0.4299065420560747,3.935081177621402e-18,1122.0,0.0,0.27154046997389036
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008638233702098047
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.025665381094228275,0.007383403487942708,0.004213395638629283,0.0012176916211140065,5.055,1.544258250006639,nan
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.7340262066934016,0.00047314165451051274,0.3600311526479751,0.0012325318535184612,870.6,4.534208335104449,0.22983768795850518
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009873691122707562
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.022953308412436133,0.007971968288524228,0.004587227414330218,0.0015976327878843184,6.92,2.4133252357416186,nan
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.7357630979498861,0.0,0.36137071651090336,3.935081177621402e-18,878.0,0.0,0.24238468233246302
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,random,200,0.001724137931034483,0.0017241379310344827,0.0002959501557632399,0.0002959501557632399,0.29,0.29,0.008022553656201071
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,mixture_half,200,0.026153038622812708,0.006891087172616093,0.004143302180685358,0.001094273841671068,4.44,1.2381831396999337,nan
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,filtered,200,0.7379303949078531,0.00041856879212161593,0.36836448598130844,0.0013787174749688672,903.94,4.954621415086542,0.2503807579420764
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,random,200,0.0028431372549019606,0.0028431372549019606,0.000514018691588785,0.0005140186915887849,0.765,0.765,0.008877862437750222
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,mixture_half,200,0.04080203605117836,0.01055027021651411,0.008504672897196261,0.002223314361862226,13.235,3.5056377960057308,nan
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.5,0.0,1000,764,2940,2298,642,3390,764,filtered,200,0.7377232142857142,7.870162355242804e-18,0.36604361370716504,3.935081177621402e-18,896.0,0.0,0.24978241949521324
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.5,0.0,1000,764,2940,2298,642,3390,764,random,200,0.0015116279069767441,0.0015116279069767443,0.0002336448598130841,0.0002336448598130841,0.215,0.215,0.006925458562742655
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,primary,0.5,0.0,1000,764,2940,2298,642,3390,764,mixture_half,200,0.009728156819706115,0.004436606979926305,0.0015809968847352023,0.0007307176262525655,1.805,0.9000753039406308,nan
tolokers,dominant_pygod,9,9192,2566,0.5296385814836446,0.285813806742698,0,calibration_only_trim,1.0,0.01,1000,624,2940,2298,642,6825,624,filtered,200,0.7540106951871658,0.0,0.4299065420560747,3.935081177621402e-18,1122.0,0.0,0.27154046997389036
