dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006048035760299118
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01293826203113823
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.004786771105308964
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01321333348183173
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008309392134513935
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01265690268959755
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
tolokers,isolation_forest,8,9192,2566,0.39406648805732325,0.17833329060534597,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006962576153176675
