dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.7521725494513589,0.0006364101852518757,0.4241588785046729,0.0037372966443057847,1104.735,12.567131248382438,0.2699478733534999
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.00970443549327214
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.01739477580442148,0.007011975488176123,0.003442367601246106,0.0013902360548869882,5.265,2.128243637345005,nan
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.7548672566371681,0.0,0.43146417445482854,7.870162355242804e-18,1130.0,0.0,0.26979982593559615
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0016666666666666666,0.0016666666666666668,0.00024922118380062304,0.00024922118380062304,0.24,0.24,0.008752623382115693
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.020433101429489488,0.006788271674526749,0.0031464174454828658,0.0010384518642823663,3.86,1.3102042496799486,nan
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.735164949547744,0.0004975336954499022,0.359493769470405,0.0014069605939127138,873.35,5.169585143197065,0.23031199368376615
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01002457313110419
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.029107433085683785,0.008995771953681701,0.0058489096573208724,0.0018254174690396203,9.025,2.82938135806164,nan
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.7357630979498861,0.0,0.36137071651090336,3.935081177621402e-18,878.0,0.0,0.24194952132288947
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,random,200,0.003222222222222222,0.0022740876538156567,0.0004906542056074767,0.00034611613168042046,0.465,0.3281497926742615,0.008337238056623555
tolokers,dominant_pygod,8,9192,2566,0.5300149168988317,0.28673043942451326,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,mixture_half,200,0.030947859694581793,0.006785063022009884,0.0048753894080996885,0.0010725474644736185,4.66,1.0295249428936637,nan
