dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.7537348153900791,0.000602974909795229,0.43251557632398757,0.0037053455967045986,1133.22,12.393532841018619,0.26932726104721544
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009656329138533268
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.023426995497437365,0.0081427920287187,0.004867601246105918,0.0017182607799843205,7.655,2.748472371497378,nan
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.7539823008849558,0.0,0.4330218068535825,3.935081177621402e-18,1130.0,0.0,0.2689295039164491
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008820089711979846
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.02159623487140278,0.006435019078101598,0.0034190031152647976,0.0010194183527186046,3.73,1.1469362728898027,nan
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.7340488722873922,0.0005043397332438471,0.35802180685358254,0.001338458028111343,866.06,4.924013764987761,0.23065964076513462
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.002875816993464052,0.002875816993464053,0.0005062305295950156,0.0005062305295950155,0.765,0.7649999999999998,0.010276179733493972
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.0057131791952286905,0.004029684434963007,0.0010747663551401868,0.0007593482529630678,1.61,1.1377883421611372,nan
tolokers,dominant_pygod,5,9192,2566,0.5291093631182899,0.2869559035884859,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.7375565610859729,0.0,0.36137071651090336,3.935081177621402e-18,884.0,0.0,0.24238468233246302
