dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,calibration_only_trim,1.0,0.05,1000,159,2159,1954,205,5570,159,mixture_half,200,0.269974358974359,0.031468473091033684,2.4390243902439026e-05,2.439024390243902e-05,39.49,4.624465146311217,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.0,1000,163,2821,2000,821,5818,163,filtered,200,0.8570536828963798,2.361048706572841e-17,0.27892813641900116,3.935081177621402e-18,1602.0,0.0,0.544
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.0,1000,163,2821,2000,821,5818,163,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006090389606424408
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.0,1000,163,2821,2000,821,5818,163,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.01,1000,156,2821,2000,821,5739,156,filtered,200,0.8525434642627172,7.870162355242804e-18,0.27892813641900116,3.935081177621402e-18,1553.0,0.0,0.5235
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.01,1000,156,2821,2000,821,5739,156,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.004736260077079904
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.01,1000,156,2821,2000,821,5739,156,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.05,1000,168,2821,2000,821,5427,168,filtered,200,0.8519206939281289,0.0,0.29110840438489655,3.935081177621402e-18,1614.0,0.0,0.541
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.05,1000,168,2821,2000,821,5427,168,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005670833938805142
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_verified,1.0,0.05,1000,168,2821,2000,821,5427,168,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.0,1000,224,2821,2000,821,9123,224,filtered,200,0.8421400264200792,0.0,0.29110840438489655,3.935081177621402e-18,1514.0,0.0,0.4735
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.0,1000,224,2821,2000,821,9123,224,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0076326678391213055
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.0,1000,224,2821,2000,821,9123,224,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.01,1000,225,2821,2000,821,9011,225,filtered,200,0.8380041011619959,0.0,0.28867235079171744,0.0,1463.0,0.0,0.4535
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.01,1000,225,2821,2000,821,9011,225,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.007328440843880481
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.01,1000,225,2821,2000,821,9011,225,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.05,1000,213,2821,2000,821,8566,213,filtered,200,0.836189170664839,7.870162355242804e-18,0.29110840438489655,3.935081177621402e-18,1459.0,0.0,0.4395
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.05,1000,213,2821,2000,821,8566,213,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009281822481507577
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.05,1000,213,2821,2000,821,8566,213,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,1.0,0.0,200,165,2159,1954,205,5864,165,filtered,200,0.9521126760563378,1.5740324710485608e-17,0.3317073170731707,3.935081177621402e-18,1420.0,0.0,0.5348004094165814
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,1.0,0.0,200,165,2159,1954,205,5864,165,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006088999471701515
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,1.0,0.0,200,165,2159,1954,205,5864,165,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,1.0,0.0,1000,165,2159,1954,205,5864,165,filtered,200,0.9521126760563378,1.5740324710485608e-17,0.3317073170731707,3.935081177621402e-18,1420.0,0.0,0.5348004094165814
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,1.0,0.0,1000,165,2159,1954,205,5864,165,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006088999471701515
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,1.0,0.0,1000,165,2159,1954,205,5864,165,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.25,0.0,200,200,2159,1954,205,1445,328,filtered,200,0.9852541768877788,0.00010491127759686089,0.05434146341463414,0.0007489012256074806,750.22,4.89438792555608,0.277152041679882
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.25,0.0,200,200,2159,1954,205,1445,328,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01027402688868444
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.25,0.0,200,200,2159,1954,205,1445,328,mixture_half,200,0.005,0.005000000000000001,0.0,0.0,0.58,0.58,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.25,0.0,1000,328,2159,1954,205,1445,328,filtered,200,0.985313751668892,7.870162355242804e-18,0.05365853658536587,9.837702944053505e-19,749.0,0.0,0.2758444216990788
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.25,0.0,1000,328,2159,1954,205,1445,328,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009402162484238913
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.25,0.0,1000,328,2159,1954,205,1445,328,mixture_half,200,0.005,0.005000000000000001,0.0,0.0,0.345,0.345,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,1,primary,0.5,0.0,200,200,2159,1954,205,2941,354,filtered,200,0.9804219832267165,3.3646048896507885e-05,0.09404878048780488,0.00028126607257729304,984.445,1.4863651238531652,0.43355864369619085
