dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005240773351643628
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.012915017787197235
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0039164490861618795
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.013141784520873851
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008201310360573864
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.013529011782178236
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008268059181897302
tolokers,isolation_forest,0,9192,2566,0.3947566447695546,0.17982633087010877,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.013590249939027249
