sigma,cross_multiplier,theta,neighbor_noise_fraction,all_null,method,independent_repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_mean,null_tail001_mcse,n_calib_mean,n_calib_mcse,edges_mean,edges_mcse,clipped_probability_fraction_mean,clipped_probability_fraction_mcse
0.0,1.0,0.0,0.0,0,oracle_filtered,500,0.07657591387199869,0.0032488453607857344,0.9114666666666666,0.004586112657038698,29.952,0.2261009404459457,0.01011851851851852,0.0004290415896007681,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.0,0,matched_random,500,0.07161018209178535,0.0030334658479049936,0.9092,0.004817725011029285,29.67,0.2186545669298461,0.009555555555555555,0.0003883981805086927,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.0,0,mixture_half,500,0.07643655613662938,0.003181113966736996,0.9101333333333335,0.004968747574638554,29.886,0.22902163613868293,0.010118518518518518,0.0004253091419985167,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.0,0,partial_filtered,500,0.05870444844081602,0.003096770834317025,0.8834666666666667,0.006757890231646871,28.478,0.26982335199638513,0.0057777777777777775,0.0003244950134911902,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.0,0,partial_random,500,0.05964341387053556,0.0030651658928060664,0.8876666666666667,0.006536658186331477,28.63,0.2626102211577322,0.005785185185185185,0.00032363638520141214,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.5,0,oracle_filtered,500,0.07695772153433485,0.0031431522971546756,0.916,0.004144355764499328,30.066,0.20597120253216245,0.010185185185185184,0.00041693151565118315,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.5,0,matched_random,500,0.07748470248486289,0.0032087357993403134,0.9110000000000001,0.004495748752658159,29.95,0.22023625499910787,0.01014814814814815,0.00041709302184341407,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.5,0,mixture_half,500,0.07550824986934597,0.003140259505009003,0.9128666666666667,0.0043250792361036496,29.926,0.21255447963669752,0.010037037037037037,0.00043024843015200206,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.5,0,partial_filtered,500,0.0676238257375959,0.0034663223219646958,0.8834666666666668,0.007373060546436644,28.824,0.29644866608444453,0.006266666666666667,0.00033853922385677167,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,0.0,0.5,0,partial_random,500,0.06926658201178734,0.0037018657255562582,0.8917333333333334,0.0062918155388121295,29.176,0.27909467152087064,0.0063629629629629635,0.00036545675518940955,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.0,0,oracle_filtered,500,0.13924634278103634,0.00749972576551516,0.26493333333333335,0.012630904055224325,11.674,0.5967509290672997,0.022844444444444445,0.0007610186659543726,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.0,0,matched_random,500,0.04468374839952556,0.004428383773316219,0.1012,0.00901749999544726,3.908,0.3498282888265708,0.009814814814814816,0.0004336088523545269,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.0,0,mixture_half,500,0.06453419753775264,0.0054493498917703425,0.1363333333333333,0.01023024841496679,5.486,0.420043427471403,0.013525925925925927,0.0005303258515765078,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.0,0,partial_filtered,500,0.041187983086786686,0.004703285483742818,0.08646666666666666,0.009031620643827948,3.586,0.38018718098480175,0.007362962962962963,0.00043953897407712485,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.0,0,partial_random,500,0.031465112234649185,0.004001158224750486,0.0664,0.00790952175558912,2.678,0.31952593893344966,0.006177777777777778,0.00034083108661269444,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.5,0,oracle_filtered,500,0.13990094927469363,0.007568951182363561,0.2679333333333333,0.012716926970548333,11.812,0.5961611596342998,0.023029629629629633,0.0007983683959029269,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
