trim,strategy,seeds,n_calib_mean,n_calib_sd,fdp_mean,fdp_sd,power_mean,power_sd,discoveries_mean,discoveries_sd
0.0,clean,5,1792.2,19.110206696946005,0.0,0.0,0.0,0.0,0.0,0.0
0.0,random,5,1792.2,19.110206696946005,0.0,0.0,0.0,0.0,0.0,0.0
0.0,exposed_only,5,1792.2,19.110206696946005,0.0,0.0,0.0,0.0,0.0,0.0
0.0,random_full,5,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,clean,5,1752.6,27.53724750224684,0.2786324491111725,0.1605768578302479,0.06685878962536022,0.03578596328824296,36.0,26.086394921491163
0.01,random,5,1752.6,27.53724750224684,0.08444444444444445,0.1158969316480471,0.014985590778097985,0.020620799792505265,6.6,9.09945053286186
0.01,exposed_only,5,1752.6,27.53724750224684,0.0,0.0,0.0,0.0,0.0,0.0
0.01,random_full,5,4000.0,0.0,0.08468286099865047,0.1075380712067837,0.03400576368876081,0.003757465363229192,13.2,3.3466401061363023
0.05,clean,5,1597.2,23.59449088240727,0.09589627334725374,0.08357213171266348,0.23804034582132566,0.013300266004858015,92.4,14.099645385611653
0.05,random,5,1597.2,23.59449088240727,0.031828515507377295,0.013758226119858706,0.2270893371757925,0.0012887999870315769,81.4,0.8944271909999159
0.05,exposed_only,5,1597.2,23.59449088240727,0.03128466114434125,0.02863464797468263,0.22536023054755044,0.0037574653632291856,80.8,3.3466401061363023
0.05,random_full,5,4000.0,0.0,0.06928244456334344,0.040512162010923225,0.2270893371757925,0.0031569023487329406,84.8,4.024922359499622
