seed,trim,method,repetitions,n_calib,pool_size,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,tail001_mean,tail001_mcse,tail005_mean,tail005_mcse,tail001_exact,tail001_error,tail001_zerror,tail005_exact,tail005_error,tail005_zerror
0,0.0,clean,200,1783,4275,0.026679755623031935,0.008780210064618996,0.002780979827089337,0.0010568605135531618,2.215,0.7947970728020286,0.022314999999999995,0.0001530391449907424,0.0692775,0.00025878284633605234,0.022500341498116163,-0.00018534149811616843,-1.2110724882014994,0.06949119710403732,-0.00021369710403731923,-0.8257777015089118
0,0.0,random,200,1783,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.009545,8.890667570505952e-05,0.04937250000000001,0.0002545070488998261,0.00964245159506212,-9.74515950621195e-05,-1.096111110772008,0.0490838125190329,0.00028868748096710917,1.1343005320089836
0,0.0,exposed_only,200,1783,1783,0.0,0.0,0.0,0.0,0.0,0.0,0.003500000000000001,6.148564340033441e-20,0.015000000000000005,3.689138604020064e-19,0.0035,8.673617379884035e-19,8.673617379884035e-07,0.015,5.204170427930421e-18,5.204170427930421e-06
0,0.0,random_full,200,4000,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.010037499999999998,5.1110470069778936e-05,0.05012500000000001,9.666226236139989e-05,0.009931369505032425,0.00010613049496757329,2.0764922494877833,0.05000125344575127,0.00012374655424873815,1.2801950960559538
0,0.01,clean,200,1707,4270,0.3623983160647151,0.005152545009469517,0.07557636887608067,0.0018551420642388269,43.02,1.2850113895825142,0.022234999999999994,0.00012174970205199167,0.06133750000000001,0.00019816803881564807,0.0223921382059465,-0.00015713820594650402,-1.290666041050352,0.061457995414418806,-0.00012049541441879613,-0.608046661504738
0,0.01,random,200,1707,5977,0.10521473260356774,0.007314861062627506,0.02059077809798271,0.001406686016243113,8.985,0.6221407966483724,0.01233,0.00012903974690538973,0.049325,0.00022023143377390646,0.012251752590215308,7.824740978469233e-05,0.6063822323060065,0.04925857975874283,6.642024125717155e-05,0.3015929203156338
0,0.01,exposed_only,200,1707,1707,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.02550000000000001,7.378277208040128e-19,0.0055,0.0,0.0,0.0255,1.0408340855860843e-17,1.0408340855860843e-05
0,0.01,random_full,200,4000,5977,0.14517027863777088,0.00403883874842443,0.035187319884726224,0.00029291727163900276,14.43,0.1770089285997181,0.0120225,5.494372406444936e-05,0.04928,0.0001017830977862969,0.012006423129424328,1.60768705756726e-05,0.2926061319908771,0.04924540157245231,3.459842754768849e-05,0.3399231139568096
0,0.05,clean,200,1592,4063,0.13246005810157563,0.003277256525531291,0.23634005763688762,0.0006927731048112761,94.94,0.5883133202759141,0.0135525,0.0001968788336150642,0.061335,0.00021679222621379598,0.013502695736998145,4.9804263001855184e-05,0.2529691083970563,0.06146907316959493,-0.00013407316959492682,-0.6184408543445956
0,0.05,random,200,1592,5655,0.08802175525906863,0.003712257821239995,0.22951008645533144,0.0003064600348144383,87.67,0.4377942657179025,0.010727500000000001,0.00018307114455819968,0.060230000000000006,0.00025366261769935763,0.010364605995146922,0.00036289400485307877,1.982256710793175,0.059738866865439486,0.0004911331345605202,1.936166783324037
